Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_chestFastData,Initializing BNO055...,2025-03-23 23:41:06.270
Bev_chestFastData,BNO055 Initialized Successfully!,2025-03-23 23:41:06.272
Bev_chestFastData,Logging started...,2025-03-23 23:41:06.273
Bev_chestFastData,36270,2025-03-23 23:41:06.277,0.11,-0.06,-0.13,1.37,-1.37,0.75,12.00,-30.87,27.50
Bev_chestFastData,36377,2025-03-23 23:41:06.279,-0.02,0.17,-0.38,-0.56,-0.56,3.81,11.56,-30.50,26.69
Bev_chestFastData,36484,2025-03-23 23:41:06.281,0.23,-0.14,-0.48,-8.81,9.63,7.56,12.00,-30.50,27.06
Bev_chestFastData,36593,2025-03-23 23:41:06.283,-0.07,-0.17,0.47,-2.44,12.94,4.75,10.50,-31.56,27.06
Bev_chestFastData,36702,2025-03-23 23:41:06.283,0.09,-0.56,0.61,7.88,8.25,-1.06,9.38,-31.56,26.69
Bev_chestFastData,36809,2025-03-23 23:41:06.284,0.45,-0.08,-0.21,-0.06,-8.69,-15.50,9.00,-31.37,29.50
Bev_chestFastData,36918,2025-03-23 23:41:06.285,0.58,-0.53,0.86,29.56,11.94,-14.38,9.88,-30.56,27.06
Bev_chestFastData,37025,2025-03-23 23:41:06.286,0.32,0.17,0.91,43.56,-10.00,-24.25,10.25,-28.69,28.25
Bev_chestFastData,37132,2025-03-23 23:41:06.287,-0.42,0.36,-0.03,25.69,0.69,-21.56,12.50,-25.75,30.75
Bev_chestFastData,37240,2025-03-23 23:41:06.289,-0.08,-0.53,0.09,30.87,0.63,-12.69,13.56,-23.50,32.38
Bev_chestFastData,37349,2025-03-23 23:41:06.388,-1.23,-0.49,-0.96,24.44,-0.94,-27.44,14.25,-22.37,34.50
Bev_chestFastData,37459,2025-03-23 23:41:06.498,-0.88,0.72,-0.87,0.56,-11.19,1.81,14.69,-19.87,34.75
Bev_chestFastData,37569,2025-03-23 23:41:06.602,-0.49,0.76,-1.91,-21.87,-6.06,14.88,15.50,-18.69,33.56
Bev_chestFastData,37676,2025-03-23 23:41:06.716,-0.51,0.14,-1.64,-57.13,8.69,35.00,15.50,-20.56,34.06
Bev_chestFastData,37783,2025-03-23 23:41:06.823,-1.17,-0.15,-1.77,-66.81,20.62,38.69,12.75,-26.50,31.19
Bev_chestFastData,37891,2025-03-23 23:41:06.929,0.33,-0.87,-0.42,-70.75,22.00,37.00,9.06,-30.56,28.37
Bev_chestFastData,38001,2025-03-23 23:41:07.040,1.01,-1.65,1.56,-39.81,41.00,16.62,5.50,-34.69,25.19
Bev_chestFastData,38111,2025-03-23 23:41:07.149,-0.62,-0.17,1.69,-49.31,32.75,27.81,1.69,-35.00,23.87
Bev_chestFastData,38221,2025-03-23 23:41:07.261,0.23,-2.01,1.94,-17.44,20.00,-1.12,-0.06,-37.25,21.19
Bev_chestFastData,38329,2025-03-23 23:41:07.367,0.10,0.13,1.65,5.75,-7.50,-10.88,-1.75,-37.19,20.75
Bev_chestFastData,38436,2025-03-23 23:41:07.474,0.34,-0.91,1.10,21.87,-19.62,-10.31,-0.69,-37.06,21.00
Bev_chestFastData,38544,2025-03-23 23:41:07.581,-0.10,-0.66,1.01,33.94,-19.25,-17.19,2.25,-36.38,22.25
Bev_chestFastData,38653,2025-03-23 23:41:07.691,-0.05,-1.33,0.38,66.31,-26.37,-33.06,3.38,-34.88,24.69
Bev_chestFastData,38764,2025-03-23 23:41:07.799,-0.28,-0.88,-0.25,83.12,-29.94,-21.94,7.06,-31.37,27.56
Bev_chestFastData,38875,2025-03-23 23:41:07.907,0.00,0.90,-0.53,47.69,-24.69,-11.94,10.06,-26.87,31.19
Bev_chestFastData,38981,2025-03-23 23:41:08.019,-0.48,0.00,-1.96,51.88,4.69,-16.75,11.88,-23.25,33.69
Bev_chestFastData,39089,2025-03-23 23:41:08.124,-1.11,0.53,-1.88,39.50,6.63,-11.44,13.75,-20.56,35.19
Bev_chestFastData,39196,2025-03-23 23:41:08.235,-0.73,0.24,-2.26,-4.75,-2.69,3.38,14.50,-19.87,35.25
Bev_chestFastData,39306,2025-03-23 23:41:08.343,-0.77,0.40,-1.56,-35.44,-0.75,21.75,13.75,-19.75,34.38
Bev_chestFastData,39416,2025-03-23 23:41:08.453,-0.45,0.20,-1.47,-55.00,7.13,29.56,13.38,-21.87,33.56
Bev_chestFastData,39527,2025-03-23 23:41:08.563,-0.23,-0.51,-0.49,-81.81,15.19,27.81,10.50,-26.19,31.56
