Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_chestSlowData,Initializing BNO055...,2025-03-23 23:42:29.536
Bev_chestSlowData,BNO055 Initialized Successfully!,2025-03-23 23:42:29.537
Bev_chestSlowData,Logging started...,2025-03-23 23:42:29.538
Bev_chestSlowData,14870,2025-03-23 23:42:29.538,-0.01,0.00,-0.14,-1.44,0.00,-0.31,-4.38,-8.19,26.25
Bev_chestSlowData,14979,2025-03-23 23:42:29.540,0.32,0.31,-0.44,-5.69,-0.69,-1.19,-4.75,-8.19,25.50
Bev_chestSlowData,15086,2025-03-23 23:42:29.541,0.69,1.83,-0.97,-32.31,11.88,-14.75,-4.25,-7.75,25.56
Bev_chestSlowData,15194,2025-03-23 23:42:29.541,-0.75,-0.58,-0.36,-52.25,9.31,-7.94,-4.69,-11.75,24.75
Bev_chestSlowData,15300,2025-03-23 23:42:29.542,-0.70,-1.11,-0.65,-61.06,-19.62,0.12,-4.88,-15.19,24.87
Bev_chestSlowData,15409,2025-03-23 23:42:29.543,0.12,-0.29,-0.47,-30.25,-30.44,17.50,-4.00,-21.00,25.56
Bev_chestSlowData,15516,2025-03-23 23:42:29.545,0.40,0.03,-0.24,-55.19,-4.25,-6.06,-2.88,-22.37,26.37
Bev_chestSlowData,15625,2025-03-23 23:42:29.546,0.22,-0.47,0.51,-20.25,11.31,25.06,-1.19,-26.50,25.00
Bev_chestSlowData,15734,2025-03-23 23:42:29.547,-0.38,-0.08,1.14,-25.87,-15.56,3.13,-2.69,-27.69,25.37
Bev_chestSlowData,15842,2025-03-23 23:42:29.548,0.66,-0.24,0.54,-27.44,-12.81,7.00,-3.06,-29.06,23.75
Bev_chestSlowData,15949,2025-03-23 23:42:29.652,-0.05,-0.73,0.44,-5.69,-4.56,4.94,-1.56,-31.06,22.69
Bev_chestSlowData,16057,2025-03-23 23:42:29.759,0.41,-0.54,0.19,14.31,-5.06,4.25,-2.00,-31.06,21.75
Bev_chestSlowData,16166,2025-03-23 23:42:29.869,-0.16,-0.33,0.11,10.00,-10.63,4.69,-2.00,-30.50,23.87
Bev_chestSlowData,16276,2025-03-23 23:42:29.977,0.72,-0.29,0.40,21.06,-10.63,-4.63,-1.25,-30.87,23.87
Bev_chestSlowData,16386,2025-03-23 23:42:30.087,0.07,-0.34,0.78,33.44,-3.19,-5.00,-2.00,-28.69,25.50
Bev_chestSlowData,16492,2025-03-23 23:42:30.181,0.11,-0.14,0.15,29.75,-17.25,-10.00,-0.56,-27.56,27.87
