Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_chestSteadyData,Initializing BNO055...,2025-03-23 23:44:09.860
Bev_chestSteadyData,BNO055 Initialized Successfully!,2025-03-23 23:44:09.862
Bev_chestSteadyData,Logging started...,2025-03-23 23:44:09.864
Bev_chestSteadyData,25980,2025-03-23 23:44:09.866,0.09,0.09,-0.25,-5.31,0.12,0.88,-5.00,-13.25,33.38
Bev_chestSteadyData,26087,2025-03-23 23:44:09.868,0.29,0.11,-0.62,-8.69,-2.13,-0.69,-4.56,-13.69,31.25
Bev_chestSteadyData,26194,2025-03-23 23:44:09.869,0.28,0.50,-0.48,-21.87,15.88,-6.25,-4.19,-13.38,32.50
Bev_chestSteadyData,26301,2025-03-23 23:44:09.870,-0.11,-0.41,-0.55,-35.19,9.69,-15.88,-5.00,-16.00,30.50
Bev_chestSteadyData,26408,2025-03-23 23:44:09.871,0.01,-0.96,-0.53,-32.56,-17.87,4.81,-4.25,-18.37,30.19
Bev_chestSteadyData,26517,2025-03-23 23:44:09.872,-0.32,-0.16,0.75,-8.44,-3.19,-10.50,-4.38,-19.56,27.50
Bev_chestSteadyData,26627,2025-03-23 23:44:09.873,0.25,0.74,1.28,-12.44,-19.19,-9.44,-3.25,-21.25,27.50
Bev_chestSteadyData,26737,2025-03-23 23:44:09.874,-0.34,-0.54,-0.04,-38.50,-9.63,1.12,-2.56,-23.37,25.87
Bev_chestSteadyData,26844,2025-03-23 23:44:09.875,0.07,-0.30,0.49,2.06,-6.06,0.06,-2.88,-24.87,26.19
Bev_chestSteadyData,26951,2025-03-23 23:44:09.876,0.03,0.19,0.11,-3.94,-0.44,-0.37,-2.19,-26.37,26.37
Bev_chestSteadyData,27059,2025-03-23 23:44:09.960,0.04,-0.21,0.26,-0.63,-0.75,7.44,-1.50,-25.00,25.69
Bev_chestSteadyData,27166,2025-03-23 23:44:10.070,0.16,-0.12,0.09,2.13,-3.44,2.56,-2.19,-25.00,25.37
Bev_chestSteadyData,27274,2025-03-23 23:44:10.178,0.02,-0.26,0.15,6.13,2.63,3.13,-1.50,-24.69,26.06
Bev_chestSteadyData,27381,2025-03-23 23:44:10.283,0.08,-0.04,0.00,-0.81,-9.94,-0.44,-2.56,-24.69,25.69
Bev_chestSteadyData,27491,2025-03-23 23:44:10.394,-0.17,-0.17,0.00,8.50,-3.63,2.19,-1.75,-25.06,26.50
Bev_chestSteadyData,27597,2025-03-23 23:44:10.500,0.28,0.09,0.05,-1.50,0.94,-0.69,-2.69,-24.69,25.25
Bev_chestSteadyData,27705,2025-03-23 23:44:10.607,-0.06,-0.50,-0.01,9.19,7.00,0.44,-1.50,-25.06,26.50
Bev_chestSteadyData,27812,2025-03-23 23:44:10.700,-0.18,0.21,0.08,10.00,-16.19,0.44,-2.19,-23.87,26.87
Bev_chestSteadyData,27922,2025-03-23 23:44:10.825,0.53,0.00,0.00,5.56,-6.31,0.81,-0.75,-23.06,29.00
Bev_chestSteadyData,28032,2025-03-23 23:44:10.935,-0.25,0.09,0.32,12.38,0.94,-2.56,-1.19,-22.87,28.25
Bev_chestSteadyData,28142,2025-03-23 23:44:11.045,0.34,-0.18,0.07,6.38,-15.56,-7.81,-1.19,-22.50,27.75
Bev_chestSteadyData,28249,2025-03-23 23:44:11.150,0.26,-0.03,0.03,16.69,-5.13,-1.69,0.50,-23.25,28.25
Bev_chestSteadyData,28356,2025-03-23 23:44:11.258,0.13,0.17,0.01,13.31,-7.44,-2.69,2.00,-21.19,30.37
Bev_chestSteadyData,28463,2025-03-23 23:44:11.365,0.05,-0.13,0.00,14.75,-5.75,-3.94,1.88,-20.25,30.50
Bev_chestSteadyData,28570,2025-03-23 23:44:11.471,0.21,0.10,-0.24,12.94,-5.50,-5.69,2.19,-20.50,31.69
Bev_chestSteadyData,28678,2025-03-23 23:44:11.578,0.00,-0.19,-0.06,10.44,-5.06,-4.19,2.06,-19.37,32.88
Bev_chestSteadyData,28786,2025-03-23 23:44:11.688,0.14,0.07,-0.08,9.81,-4.56,-3.94,3.50,-19.25,32.88
Bev_chestSteadyData,28896,2025-03-23 23:44:11.796,0.19,0.38,-0.13,7.63,-1.44,-2.56,3.50,-18.56,32.06
Bev_chestSteadyData,29003,2025-03-23 23:44:11.899,0.10,0.52,-0.45,-4.56,0.94,2.69,3.56,-17.69,33.69
Bev_chestSteadyData,29110,2025-03-23 23:44:12.012,-0.07,0.12,-0.70,-15.75,7.13,3.44,3.19,-17.75,33.75
Bev_chestSteadyData,29217,2025-03-23 23:44:12.119,-0.03,0.14,-0.88,-27.56,9.69,6.13,2.50,-19.25,32.56
Bev_chestSteadyData,29327,2025-03-23 23:44:12.229,-0.15,0.14,-0.68,-45.00,12.44,8.50,2.00,-20.50,31.75
Bev_chestSteadyData,29437,2025-03-23 23:44:12.339,-0.12,-0.38,-0.35,-51.00,17.75,9.44,0.88,-23.00,29.25
Bev_chestSteadyData,29547,2025-03-23 23:44:12.447,-0.25,-0.49,0.01,-42.81,13.75,5.44,-0.37,-25.87,25.75
Bev_chestSteadyData,29655,2025-03-23 23:44:12.556,0.30,0.11,0.67,-33.88,16.44,5.13,-2.38,-28.50,25.06
Bev_chestSteadyData,29762,2025-03-23 23:44:12.664,0.00,-0.46,0.53,-45.31,32.50,7.56,-4.88,-30.06,21.50
Bev_chestSteadyData,29869,2025-03-23 23:44:12.770,-0.12,-0.32,0.67,-40.31,24.87,0.31,-5.88,-32.56,18.87
Bev_chestSteadyData,29979,2025-03-23 23:44:12.881,-0.26,-0.12,1.34,-21.81,5.50,-5.81,-7.00,-34.00,16.19
Bev_chestSteadyData,30089,2025-03-23 23:44:12.991,0.43,-0.52,0.23,-38.19,-14.44,-4.44,-8.19,-34.19,15.69
Bev_chestSteadyData,30198,2025-03-23 23:44:13.098,0.39,-1.19,0.66,-4.75,13.44,15.75,-7.69,-35.69,13.56
Bev_chestSteadyData,30305,2025-03-23 23:44:13.200,-0.41,0.17,0.88,13.50,1.56,4.63,-8.38,-35.25,12.00
Bev_chestSteadyData,30412,2025-03-23 23:44:13.300,-0.03,-0.48,0.52,3.38,-8.25,1.31,-9.56,-35.00,12.75
Bev_chestSteadyData,30520,2025-03-23 23:44:13.421,0.04,-0.25,0.72,6.38,-4.44,3.13,-9.25,-33.75,13.56
Bev_chestSteadyData,30626,2025-03-23 23:44:13.528,0.23,-0.18,0.37,12.38,-13.13,-2.81,-8.88,-34.56,13.56
Bev_chestSteadyData,30735,2025-03-23 23:44:13.635,-0.09,-0.13,0.19,22.25,-12.88,-5.81,-8.50,-34.56,15.56
Bev_chestSteadyData,30844,2025-03-23 23:44:13.745,0.13,-0.15,0.05,18.12,-20.62,-8.06,-7.38,-33.75,16.06
Bev_chestSteadyData,30954,2025-03-23 23:44:13.855,0.01,-0.37,0.10,36.50,-9.00,-10.38,-6.25,-33.75,19.25
Bev_chestSteadyData,31062,2025-03-23 23:44:13.962,-0.05,-0.17,0.12,39.81,-5.56,-7.31,-5.19,-32.38,19.69
