Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_leftArmFastData,Initializing BNO055...,2025-03-23 23:22:58.980
Bev_leftArmFastData,BNO055 Initialized Successfully!,2025-03-23 23:22:58.982
Bev_leftArmFastData,Logging started...,2025-03-23 23:22:58.983
Bev_leftArmFastData,94879,2025-03-23 23:22:58.985,1.05,1.23,0.76,21.31,19.69,3.06,-23.75,-35.00,-18.00
Bev_leftArmFastData,94989,2025-03-23 23:22:58.986,-0.19,1.36,-0.18,26.50,45.81,54.25,-24.19,-34.56,-17.56
Bev_leftArmFastData,95099,2025-03-23 23:22:58.987,0.16,0.84,1.30,36.06,27.87,67.31,-25.25,-32.69,-16.75
Bev_leftArmFastData,95206,2025-03-23 23:22:58.988,-0.87,0.69,0.03,-6.38,1.75,68.75,-28.56,-31.69,-17.69
Bev_leftArmFastData,95313,2025-03-23 23:22:58.990,-0.63,-0.10,0.20,-34.38,-11.00,4.69,-32.19,-27.19,-16.50
Bev_leftArmFastData,95421,2025-03-23 23:22:58.991,0.01,-0.77,-0.17,-7.19,-4.31,-35.38,-33.19,-27.87,-16.00
Bev_leftArmFastData,95531,2025-03-23 23:22:58.992,0.34,-0.92,-0.63,23.75,-3.38,-39.63,-30.06,-30.06,-16.50
Bev_leftArmFastData,95641,2025-03-23 23:22:58.993,-0.55,-1.34,-0.04,70.00,3.25,-90.75,-27.50,-33.38,-13.19
Bev_leftArmFastData,95752,2025-03-23 23:22:58.999,-1.51,-1.14,-0.09,91.06,5.25,-172.50,-21.87,-39.06,-8.38
Bev_leftArmFastData,95858,2025-03-23 23:22:59.070,-0.75,-2.01,0.33,64.19,17.31,-171.81,-9.19,-44.38,-1.75
Bev_leftArmFastData,95966,2025-03-23 23:22:59.176,0.69,-1.73,0.94,104.19,33.88,-105.87,10.56,-45.19,6.56
Bev_leftArmFastData,96073,2025-03-23 23:22:59.283,0.01,-2.18,1.01,61.88,81.50,-62.56,17.37,-41.69,13.50
