Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_leftArmSlowData,Initializing BNO055...,2025-03-23 23:26:51.043
Bev_leftArmSlowData,BNO055 Initialized Successfully!,2025-03-23 23:26:51.045
Bev_leftArmSlowData,Logging started...,2025-03-23 23:26:51.046
Bev_leftArmSlowData,119079,2025-03-23 23:26:51.048,-0.07,-0.01,-0.31,-3.25,1.50,3.56,6.69,-44.88,3.56
Bev_leftArmSlowData,119187,2025-03-23 23:26:51.051,0.20,-0.21,-0.71,-6.81,10.56,5.25,6.69,-44.06,4.00
Bev_leftArmSlowData,119297,2025-03-23 23:26:51.053,0.08,0.07,0.02,8.13,-8.81,-5.75,5.88,-44.50,3.19
Bev_leftArmSlowData,119406,2025-03-23 23:26:51.054,-0.21,-0.04,0.48,2.13,-19.00,-7.19,7.06,-44.88,3.19
Bev_leftArmSlowData,119516,2025-03-23 23:26:51.056,-0.34,0.17,0.31,-1.00,-30.94,6.13,8.56,-44.06,2.38
Bev_leftArmSlowData,119623,2025-03-23 23:26:51.057,-0.74,1.33,-0.36,-10.06,-36.56,14.13,6.69,-44.50,1.56
Bev_leftArmSlowData,119731,2025-03-23 23:26:51.057,0.32,2.70,-1.16,5.69,-90.50,24.00,5.19,-43.75,1.56
Bev_leftArmSlowData,119838,2025-03-23 23:26:51.058,0.24,-0.69,-0.29,-34.81,-61.44,-7.19,4.75,-44.06,2.38
Bev_leftArmSlowData,119948,2025-03-23 23:26:51.060,-1.42,-2.91,-0.01,-6.63,-38.19,-70.69,6.06,-42.56,0.00
Bev_leftArmSlowData,120058,2025-03-23 23:26:51.124,-0.28,-6.66,-1.65,10.63,42.88,-134.00,13.19,-41.19,0.06
Bev_leftArmSlowData,120168,2025-03-23 23:26:51.235,2.00,-2.01,1.21,119.31,-9.69,-24.31,21.56,-38.00,3.88
Bev_leftArmSlowData,120274,2025-03-23 23:26:51.341,2.55,1.46,1.76,38.50,55.00,25.87,25.56,-37.19,8.00
Bev_leftArmSlowData,120382,2025-03-23 23:26:51.449,1.68,3.33,1.76,-0.31,99.31,-33.19,21.37,-38.06,13.56
Bev_leftArmSlowData,120489,2025-03-23 23:26:51.549,-5.99,7.83,-5.15,59.94,25.06,10.69,19.69,-36.38,15.69
Bev_leftArmSlowData,120599,2025-03-23 23:26:51.666,-5.83,1.91,-4.26,-115.81,-113.75,172.56,15.50,-37.06,14.19
Bev_leftArmSlowData,120708,2025-03-23 23:26:51.775,-4.09,0.09,-0.82,-103.87,-65.31,164.38,3.88,-43.00,6.06
Bev_leftArmSlowData,120814,2025-03-23 23:26:51.882,-3.13,-1.00,0.29,-41.56,-0.25,74.87,-7.88,-42.69,-0.06
Bev_leftArmSlowData,120924,2025-03-23 23:26:51.989,-0.01,-3.65,0.12,46.25,30.44,-100.19,-14.00,-41.06,-2.69
Bev_leftArmSlowData,121031,2025-03-23 23:26:52.099,3.06,-6.71,-0.47,53.00,106.81,-263.19,-7.00,-42.88,0.56
Bev_leftArmSlowData,121139,2025-03-23 23:26:52.202,6.54,0.80,0.18,109.94,-40.63,-52.94,17.19,-40.25,10.56
Bev_leftArmSlowData,121246,2025-03-23 23:26:52.299,0.33,2.46,3.60,193.38,-127.62,42.19,21.25,-38.38,10.50
Bev_leftArmSlowData,121355,2025-03-23 23:26:52.423,-8.30,8.00,-6.37,73.00,22.69,49.06,20.75,-36.88,13.25
Bev_leftArmSlowData,121464,2025-03-23 23:26:52.531,-4.93,2.91,-3.95,-90.37,-110.25,205.38,14.50,-38.88,12.69
Bev_leftArmSlowData,121575,2025-03-23 23:26:52.641,-3.93,-0.26,-0.50,-84.12,-77.12,171.13,2.25,-42.88,4.06
Bev_leftArmSlowData,121682,2025-03-23 23:26:52.747,-4.33,-2.91,1.45,-42.56,18.12,56.50,-9.06,-42.75,-0.75
Bev_leftArmSlowData,121789,2025-03-23 23:26:52.850,2.01,-4.08,0.44,55.19,102.75,-132.00,-12.06,-41.69,-1.69
Bev_leftArmSlowData,121897,2025-03-23 23:26:52.963,3.82,-7.24,-0.02,80.00,105.50,-190.81,1.19,-43.25,2.25
Bev_leftArmSlowData,122007,2025-03-23 23:26:53.073,1.47,-5.11,2.18,12.44,37.00,-59.13,13.56,-42.75,9.00
Bev_leftArmSlowData,122117,2025-03-23 23:26:53.184,-4.57,1.34,-2.51,137.13,55.25,-62.50,17.00,-40.19,13.38
Bev_leftArmSlowData,122227,2025-03-23 23:26:53.291,-6.37,3.31,-4.43,25.62,22.75,27.62,17.56,-35.75,18.25
Bev_leftArmSlowData,122335,2025-03-23 23:26:53.399,-4.86,2.58,-3.86,-119.62,-80.81,216.38,14.88,-35.19,19.50
Bev_leftArmSlowData,122442,2025-03-23 23:26:53.500,-4.63,1.39,-1.80,-133.38,-45.19,188.13,-4.38,-42.88,5.69
Bev_leftArmSlowData,122550,2025-03-23 23:26:53.600,-4.25,-1.56,-0.46,-38.50,-33.75,42.94,-16.87,-40.50,-4.06
Bev_leftArmSlowData,122659,2025-03-23 23:26:53.725,-0.87,-2.57,-0.25,37.13,5.44,-169.88,-18.75,-40.19,-3.69
Bev_leftArmSlowData,122769,2025-03-23 23:26:53.836,5.33,-6.35,0.62,75.37,78.37,-238.38,-4.00,-42.75,1.56
Bev_leftArmSlowData,122880,2025-03-23 23:26:53.946,5.83,-1.99,1.40,96.62,35.19,-57.81,14.00,-41.38,8.19
Bev_leftArmSlowData,122987,2025-03-23 23:26:54.053,-5.64,4.13,-2.11,77.62,150.50,-99.44,18.75,-38.69,17.19
Bev_leftArmSlowData,123095,2025-03-23 23:26:54.150,-7.78,-0.01,-6.00,-149.94,69.62,66.44,18.69,-30.75,25.75
Bev_leftArmSlowData,123202,2025-03-23 23:26:54.266,-3.78,2.59,-3.22,-139.25,-104.44,254.56,8.50,-38.06,17.75
Bev_leftArmSlowData,123312,2025-03-23 23:26:54.376,-2.39,-0.02,-1.18,-121.31,-38.88,178.00,-5.50,-43.00,7.56
Bev_leftArmSlowData,123421,2025-03-23 23:26:54.487,-2.75,-0.73,-0.41,-67.56,-15.69,28.69,-17.37,-40.88,1.19
Bev_leftArmSlowData,123532,2025-03-23 23:26:54.598,-0.04,-2.20,-0.58,4.31,-2.63,-139.56,-19.69,-39.75,-0.75
Bev_leftArmSlowData,123639,2025-03-23 23:26:54.700,2.09,-4.31,-0.91,48.50,46.00,-260.25,-8.06,-42.69,0.37
Bev_leftArmSlowData,123747,2025-03-23 23:26:54.800,8.51,3.13,3.02,96.19,-21.69,-70.56,17.56,-40.38,7.69
Bev_leftArmSlowData,123854,2025-03-23 23:26:54.918,8.07,12.67,1.14,124.62,-50.19,-11.81,20.87,-39.88,13.00
Bev_leftArmSlowData,123964,2025-03-23 23:26:55.027,-3.62,9.52,-5.06,147.44,-21.50,38.94,18.87,-38.00,15.50
Bev_leftArmSlowData,124075,2025-03-23 23:26:55.138,-4.58,2.23,-4.33,-96.31,-75.69,223.63,13.00,-37.88,14.56
Bev_leftArmSlowData,124185,2025-03-23 23:26:55.249,-4.55,0.65,-1.04,-115.69,-57.88,164.81,-1.50,-42.25,9.06
Bev_leftArmSlowData,124292,2025-03-23 23:26:55.355,-3.30,-0.75,0.88,-47.69,-21.44,55.75,-15.56,-42.38,1.19
Bev_leftArmSlowData,124399,2025-03-23 23:26:55.463,0.10,-3.04,0.10,28.44,62.56,-136.75,-19.56,-40.00,-1.19
Bev_leftArmSlowData,124507,2025-03-23 23:26:55.572,2.46,-7.43,-1.55,-6.63,131.94,-257.31,-6.56,-42.56,0.75
Bev_leftArmSlowData,124616,2025-03-23 23:26:55.680,5.65,-7.06,-0.88,130.81,13.81,-134.63,11.88,-41.88,5.88
Bev_leftArmSlowData,124727,2025-03-23 23:26:55.790,-1.98,0.54,3.52,101.56,16.56,-41.75,20.56,-38.00,12.75
Bev_leftArmSlowData,124837,2025-03-23 23:26:55.900,-9.34,5.81,-9.29,-41.88,23.50,95.00,23.06,-34.19,18.06
Bev_leftArmSlowData,124945,2025-03-23 23:26:56.000,-3.11,2.63,-2.25,-137.44,-105.25,305.44,17.50,-36.00,16.00
Bev_leftArmSlowData,125052,2025-03-23 23:26:56.117,-3.77,0.34,-0.24,-72.06,-66.25,179.56,-10.19,-42.69,0.37
Bev_leftArmSlowData,125160,2025-03-23 23:26:56.223,-3.26,-0.56,2.25,-11.81,5.38,24.31,-19.75,-39.75,-0.37
Bev_leftArmSlowData,125270,2025-03-23 23:26:56.334,-0.81,-3.91,0.48,3.75,85.19,-144.31,-19.06,-40.56,-1.56
Bev_leftArmSlowData,125379,2025-03-23 23:26:56.442,1.56,-3.92,-2.03,45.19,84.81,-220.44,-7.19,-44.06,-0.75
Bev_leftArmSlowData,125490,2025-03-23 23:26:56.552,3.77,1.21,-0.82,153.19,4.50,-104.81,9.50,-42.25,3.38
Bev_leftArmSlowData,125597,2025-03-23 23:26:56.659,3.84,2.78,0.07,168.81,-42.75,-43.44,19.69,-38.69,12.25
Bev_leftArmSlowData,125705,2025-03-23 23:26:56.768,2.65,6.15,1.07,58.88,-5.81,-50.31,25.06,-33.69,18.00
Bev_leftArmSlowData,125812,2025-03-23 23:26:56.875,-1.20,2.34,-1.97,27.25,31.25,-21.06,24.37,-30.69,20.75
Bev_leftArmSlowData,125922,2025-03-23 23:26:56.986,-2.21,0.20,-1.62,-32.50,20.75,50.13,22.75,-30.87,22.50
Bev_leftArmSlowData,126031,2025-03-23 23:26:57.096,-3.20,0.02,-2.35,-43.38,7.63,69.50,17.56,-34.06,20.37
Bev_leftArmSlowData,126142,2025-03-23 23:26:57.200,-0.92,0.62,-1.82,-40.13,-49.88,143.50,12.25,-37.50,17.56
Bev_leftArmSlowData,126249,2025-03-23 23:26:57.299,-1.86,0.02,-0.66,-31.00,-15.81,137.81,3.75,-39.38,14.75
Bev_leftArmSlowData,126357,2025-03-23 23:26:57.420,-2.18,-0.52,-0.04,-49.75,-0.12,106.37,-9.75,-41.00,10.00
Bev_leftArmSlowData,126465,2025-03-23 23:26:57.526,-1.02,-0.88,0.47,-29.06,-2.31,58.38,-17.19,-39.88,7.88
Bev_leftArmSlowData,126574,2025-03-23 23:26:57.637,-0.01,-0.62,0.61,-4.25,9.00,1.06,-19.50,-38.75,7.88
Bev_leftArmSlowData,126684,2025-03-23 23:26:57.747,0.50,-1.82,-0.32,-7.19,22.37,-35.56,-19.06,-39.19,8.69
Bev_leftArmSlowData,126794,2025-03-23 23:26:57.858,-0.19,-2.56,-0.04,3.81,21.19,-97.37,-15.00,-40.19,7.75
Bev_leftArmSlowData,126902,2025-03-23 23:26:57.964,-0.53,-4.57,0.63,33.31,14.69,-133.81,-8.69,-41.69,9.06
