Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_leftArmSteadyData,Initializing BNO055...,2025-03-23 23:28:33.666
Bev_leftArmSteadyData,BNO055 Initialized Successfully!,2025-03-23 23:28:33.668
Bev_leftArmSteadyData,Logging started...,2025-03-23 23:28:33.670
Bev_leftArmSteadyData,15468,2025-03-23 23:28:33.673,0.19,0.53,-0.50,2.13,-11.94,-8.63,-2.69,-47.19,8.00
Bev_leftArmSteadyData,15578,2025-03-23 23:28:33.674,0.43,1.13,-0.92,3.81,-34.50,-10.69,-0.75,-46.88,7.56
Bev_leftArmSteadyData,15684,2025-03-23 23:28:33.676,0.50,0.76,-0.24,6.63,-50.50,-0.25,-0.06,-46.06,9.69
Bev_leftArmSteadyData,15792,2025-03-23 23:28:33.678,0.26,0.05,0.89,8.25,-30.62,-21.75,3.19,-46.06,10.75
Bev_leftArmSteadyData,15899,2025-03-23 23:28:33.680,1.39,-0.20,0.33,8.25,-47.25,-0.63,5.19,-45.25,12.06
Bev_leftArmSteadyData,16008,2025-03-23 23:28:33.680,-0.85,-1.33,0.94,4.81,-10.81,10.56,6.75,-44.69,13.56
Bev_leftArmSteadyData,16118,2025-03-23 23:28:33.681,-1.28,-1.09,0.02,16.56,4.81,-40.88,5.56,-43.88,13.75
Bev_leftArmSteadyData,16229,2025-03-23 23:28:33.682,1.15,-0.86,-0.10,9.06,-9.69,-39.44,8.06,-43.19,15.19
Bev_leftArmSteadyData,16335,2025-03-23 23:28:33.683,1.05,-0.27,-0.47,21.81,7.44,-32.50,11.50,-42.06,16.06
Bev_leftArmSteadyData,16443,2025-03-23 23:28:33.725,1.14,-0.30,0.07,15.69,16.00,-23.19,14.88,-40.75,19.00
Bev_leftArmSteadyData,16550,2025-03-23 23:28:33.832,1.29,-0.56,0.07,-0.50,17.75,-24.94,16.25,-40.06,18.87
Bev_leftArmSteadyData,16660,2025-03-23 23:28:33.944,1.38,0.00,0.14,22.69,8.63,-15.69,17.00,-39.75,21.19
Bev_leftArmSteadyData,16771,2025-03-23 23:28:34.052,0.45,1.68,0.02,24.94,-19.37,-4.94,17.50,-39.38,21.75
Bev_leftArmSteadyData,16881,2025-03-23 23:28:34.150,0.37,1.12,-0.05,12.56,-10.00,-3.88,16.69,-39.69,21.25
Bev_leftArmSteadyData,16988,2025-03-23 23:28:34.271,0.48,0.23,-0.09,5.56,10.00,-4.56,17.37,-39.56,20.56
Bev_leftArmSteadyData,17095,2025-03-23 23:28:34.377,0.35,0.72,0.10,15.06,14.06,-11.19,16.56,-39.69,20.37
Bev_leftArmSteadyData,17203,2025-03-23 23:28:34.487,-0.71,0.61,-0.14,7.31,12.81,-4.25,17.19,-37.38,20.19
Bev_leftArmSteadyData,17312,2025-03-23 23:28:34.595,-0.05,0.38,-0.34,4.50,12.19,1.25,16.50,-37.19,20.87
Bev_leftArmSteadyData,17423,2025-03-23 23:28:34.700,-0.33,0.13,-0.55,2.06,6.69,2.94,15.25,-37.00,21.25
Bev_leftArmSteadyData,17531,2025-03-23 23:28:34.815,-0.02,0.19,-0.47,3.81,2.38,14.63,14.56,-37.75,22.19
Bev_leftArmSteadyData,17639,2025-03-23 23:28:34.922,0.02,-0.02,-0.12,1.50,1.88,18.81,12.56,-38.00,21.37
Bev_leftArmSteadyData,17746,2025-03-23 23:28:35.029,-0.23,0.23,-0.08,-0.81,2.69,19.37,10.75,-38.00,21.37
Bev_leftArmSteadyData,17853,2025-03-23 23:28:35.136,0.00,0.18,0.06,0.12,-6.06,24.50,8.88,-38.06,22.25
Bev_leftArmSteadyData,17963,2025-03-23 23:28:35.245,-0.38,0.22,-0.22,-5.44,-2.81,26.50,7.00,-38.88,22.75
Bev_leftArmSteadyData,18070,2025-03-23 23:28:35.352,0.28,0.23,-0.41,-14.06,-16.75,55.13,5.50,-39.25,22.00
Bev_leftArmSteadyData,18178,2025-03-23 23:28:35.459,-0.24,0.56,-0.43,-20.37,-24.25,82.37,2.56,-40.88,21.37
Bev_leftArmSteadyData,18287,2025-03-23 23:28:35.569,-0.37,0.36,-0.43,-26.94,-28.06,95.81,-2.06,-41.25,20.19
Bev_leftArmSteadyData,18394,2025-03-23 23:28:35.676,-0.40,0.70,-0.37,-36.69,-18.56,99.62,-8.00,-42.88,16.56
Bev_leftArmSteadyData,18501,2025-03-23 23:28:35.782,-0.70,0.27,0.22,-33.50,-8.44,79.75,-16.50,-40.88,14.06
Bev_leftArmSteadyData,18609,2025-03-23 23:28:35.892,-0.47,-0.38,0.21,-3.00,-24.87,49.56,-21.19,-39.06,13.75
Bev_leftArmSteadyData,18718,2025-03-23 23:28:35.999,0.06,-1.18,0.75,15.13,-20.62,-2.25,-22.75,-36.88,14.38
Bev_leftArmSteadyData,18828,2025-03-23 23:28:36.101,0.26,-1.63,0.77,-5.44,4.31,-61.63,-21.37,-37.69,16.69
Bev_leftArmSteadyData,18938,2025-03-23 23:28:36.220,0.29,-1.66,-0.02,-25.06,0.00,-109.31,-16.56,-39.06,17.37
Bev_leftArmSteadyData,19046,2025-03-23 23:28:36.328,-0.04,-1.81,0.38,-45.50,-8.31,-156.19,-7.75,-41.25,15.38
Bev_leftArmSteadyData,19152,2025-03-23 23:28:36.433,1.12,-0.14,-0.47,16.94,-4.63,-112.19,10.00,-41.69,13.25
Bev_leftArmSteadyData,19261,2025-03-23 23:28:36.543,2.02,-0.20,-0.54,22.94,21.00,-65.94,18.00,-40.38,15.38
Bev_leftArmSteadyData,19371,2025-03-23 23:28:36.651,1.21,-0.35,-0.62,60.31,24.50,-41.13,21.56,-38.50,17.50
Bev_leftArmSteadyData,19480,2025-03-23 23:28:36.761,1.36,1.10,-0.25,24.44,36.25,-43.88,24.50,-36.00,22.19
Bev_leftArmSteadyData,19591,2025-03-23 23:28:36.871,0.86,0.59,0.28,4.13,40.81,-23.56,24.69,-35.38,24.37
Bev_leftArmSteadyData,19698,2025-03-23 23:28:36.979,0.44,0.40,0.21,15.50,21.44,-17.25,23.75,-34.00,25.69
Bev_leftArmSteadyData,19805,2025-03-23 23:28:37.084,0.05,0.41,0.09,5.50,5.06,-15.94,22.37,-33.00,26.50
Bev_leftArmSteadyData,19912,2025-03-23 23:28:37.193,-0.06,0.76,-0.63,16.12,-4.00,-6.63,21.50,-32.88,26.50
Bev_leftArmSteadyData,20022,2025-03-23 23:28:37.299,0.68,0.92,-0.73,14.94,-3.50,14.88,21.37,-31.19,27.00
Bev_leftArmSteadyData,20131,2025-03-23 23:28:37.399,0.29,0.97,-0.27,9.81,3.50,28.44,20.19,-31.87,27.00
Bev_leftArmSteadyData,20240,2025-03-23 23:28:37.519,-0.54,0.09,0.01,0.37,15.00,29.87,19.06,-31.87,27.00
Bev_leftArmSteadyData,20346,2025-03-23 23:28:37.629,-0.48,-0.05,-0.01,-3.44,9.88,26.81,16.06,-33.56,27.87
Bev_leftArmSteadyData,20454,2025-03-23 23:28:37.735,-0.05,0.00,-0.13,-5.56,-0.81,36.06,13.19,-33.88,26.69
Bev_leftArmSteadyData,20560,2025-03-23 23:28:37.842,-0.06,0.22,-1.06,-2.25,-6.75,37.50,11.00,-35.88,27.56
Bev_leftArmSteadyData,20668,2025-03-23 23:28:37.948,-0.18,0.26,-1.14,-17.62,-19.50,77.62,8.06,-36.25,26.75
Bev_leftArmSteadyData,20776,2025-03-23 23:28:38.056,-0.34,0.25,-0.63,-30.31,-29.31,101.50,4.00,-38.88,26.25
Bev_leftArmSteadyData,20886,2025-03-23 23:28:38.165,-0.58,0.71,-0.36,-46.63,-30.94,115.81,-1.88,-39.38,23.75
Bev_leftArmSteadyData,20996,2025-03-23 23:28:38.277,-0.61,0.12,0.37,-51.81,-24.06,92.44,-7.25,-41.56,20.87
Bev_leftArmSteadyData,21103,2025-03-23 23:28:38.383,-0.26,0.05,1.03,-24.87,-27.12,56.56,-13.56,-40.75,18.69
Bev_leftArmSteadyData,21211,2025-03-23 23:28:38.490,0.16,-1.15,0.25,-18.19,-22.12,18.12,-16.19,-40.56,17.56
Bev_leftArmSteadyData,21317,2025-03-23 23:28:38.599,0.07,-1.44,1.69,-33.31,26.25,-72.62,-15.19,-41.19,16.56
Bev_leftArmSteadyData,21428,2025-03-23 23:28:38.700,0.69,-2.62,-0.32,-28.12,82.62,-131.44,-7.25,-42.19,14.38
Bev_leftArmSteadyData,21537,2025-03-23 23:28:38.818,1.08,-1.45,-0.99,-3.00,52.75,-110.25,1.19,-43.00,11.69
Bev_leftArmSteadyData,21648,2025-03-23 23:28:38.927,1.06,-0.64,-0.41,40.94,5.13,-75.12,8.75,-42.00,13.00
Bev_leftArmSteadyData,21755,2025-03-23 23:28:39.034,1.62,0.85,-0.72,28.31,14.81,-64.19,15.25,-41.00,14.88
Bev_leftArmSteadyData,21862,2025-03-23 23:28:39.141,2.23,0.49,-0.14,22.50,26.62,-37.38,21.25,-37.50,20.37
Bev_leftArmSteadyData,21969,2025-03-23 23:28:39.250,2.02,0.94,-0.07,-3.75,36.69,-57.31,22.25,-36.50,21.87
Bev_leftArmSteadyData,22080,2025-03-23 23:28:39.358,1.96,2.89,1.00,11.44,21.50,-40.50,23.06,-35.50,23.00
Bev_leftArmSteadyData,22190,2025-03-23 23:28:39.468,0.65,1.12,0.28,17.62,17.31,-21.62,23.19,-32.75,24.25
Bev_leftArmSteadyData,22300,2025-03-23 23:28:39.578,-0.31,0.43,-0.28,5.38,17.44,4.38,23.50,-32.00,24.75
Bev_leftArmSteadyData,22408,2025-03-23 23:28:39.686,-0.08,0.27,-0.40,-4.19,-1.00,24.44,21.19,-31.00,25.87
Bev_leftArmSteadyData,22514,2025-03-23 23:28:39.793,-0.12,0.06,-0.01,-4.44,15.81,15.38,18.50,-32.75,25.69
Bev_leftArmSteadyData,22622,2025-03-23 23:28:39.902,-1.03,-0.66,-0.80,-11.56,11.75,14.13,17.37,-33.19,24.87
Bev_leftArmSteadyData,22731,2025-03-23 23:28:39.999,0.55,0.72,0.00,3.94,-10.44,32.69,15.50,-34.56,25.00
Bev_leftArmSteadyData,22842,2025-03-23 23:28:40.119,-0.39,0.48,0.18,-10.38,10.81,28.87,14.38,-35.25,25.37
Bev_leftArmSteadyData,22951,2025-03-23 23:28:40.230,0.06,-0.29,-0.13,-18.19,7.94,31.62,11.75,-36.06,25.37
Bev_leftArmSteadyData,23059,2025-03-23 23:28:40.338,-0.29,-0.11,-1.02,-1.63,-15.63,42.00,8.88,-37.69,23.00
Bev_leftArmSteadyData,23166,2025-03-23 23:28:40.444,-0.06,-0.51,-1.49,13.56,-66.94,83.44,5.50,-38.38,23.87
Bev_leftArmSteadyData,23273,2025-03-23 23:28:40.553,-0.51,0.63,-0.95,-0.94,-73.37,98.69,3.25,-39.19,23.37
Bev_leftArmSteadyData,23383,2025-03-23 23:28:40.661,1.11,0.57,0.14,-31.94,-61.13,110.81,-0.75,-39.50,21.75
Bev_leftArmSteadyData,23492,2025-03-23 23:28:40.770,1.07,-0.14,-0.09,-34.56,-30.00,94.00,-5.19,-41.38,20.69
Bev_leftArmSteadyData,23599,2025-03-23 23:28:40.877,-0.07,-1.20,-0.11,-21.12,-38.63,70.81,-8.75,-40.50,18.00
Bev_leftArmSteadyData,23707,2025-03-23 23:28:40.986,-0.24,-0.51,0.06,-16.31,-47.06,30.56,-12.56,-40.38,16.87
Bev_leftArmSteadyData,23815,2025-03-23 23:28:41.093,0.00,-0.43,0.54,-34.56,-27.31,5.69,-13.38,-40.25,16.87
Bev_leftArmSteadyData,23922,2025-03-23 23:28:41.199,2.31,-2.77,-0.60,-44.63,-6.56,-14.19,-10.75,-41.00,13.56
Bev_leftArmSteadyData,24030,2025-03-23 23:28:41.300,-0.31,-0.34,-0.36,-66.37,-18.19,9.00,-9.25,-41.69,11.38
Bev_leftArmSteadyData,24138,2025-03-23 23:28:41.416,-0.45,-1.16,-0.04,-77.56,13.19,-43.56,-8.88,-42.50,6.88
Bev_leftArmSteadyData,24248,2025-03-23 23:28:41.525,-0.68,-1.26,-0.41,-37.44,37.69,-73.44,-5.00,-42.06,0.88
Bev_leftArmSteadyData,24357,2025-03-23 23:28:41.635,0.51,-0.83,-0.47,-10.63,40.56,-69.62,0.69,-42.88,-3.00
Bev_leftArmSteadyData,24464,2025-03-23 23:28:41.742,1.10,-2.15,-1.10,28.19,49.69,-53.69,4.69,-42.06,-3.06
Bev_leftArmSteadyData,24571,2025-03-23 23:28:41.848,1.17,-1.43,-0.50,58.94,72.69,-40.94,12.19,-42.19,2.06
Bev_leftArmSteadyData,24679,2025-03-23 23:28:41.955,1.01,-0.92,-0.26,34.69,105.00,-47.00,13.69,-43.00,8.88
Bev_leftArmSteadyData,24790,2025-03-23 23:28:42.065,0.82,0.14,-1.05,20.69,49.69,-53.38,14.69,-41.50,14.06
Bev_leftArmSteadyData,24899,2025-03-23 23:28:42.176,0.46,0.81,-0.35,33.81,-1.56,-63.88,15.88,-41.06,15.25
Bev_leftArmSteadyData,25010,2025-03-23 23:28:42.287,0.14,1.47,-0.49,21.56,24.44,-29.06,18.37,-38.38,18.19
Bev_leftArmSteadyData,25117,2025-03-23 23:28:42.393,-0.28,0.58,-0.47,20.37,32.13,-34.63,19.75,-36.75,20.00
Bev_leftArmSteadyData,25225,2025-03-23 23:28:42.500,0.12,0.51,-0.57,25.50,33.19,-28.87,19.25,-34.06,22.87
Bev_leftArmSteadyData,25332,2025-03-23 23:28:42.601,-0.30,-0.09,-0.54,13.69,26.12,-16.56,21.06,-32.56,26.69
Bev_leftArmSteadyData,25442,2025-03-23 23:28:42.720,0.55,0.17,0.13,13.56,7.94,-0.75,19.69,-30.69,27.19
Bev_leftArmSteadyData,25551,2025-03-23 23:28:42.827,0.59,0.44,-0.08,5.75,10.81,6.69,19.87,-31.06,28.00
Bev_leftArmSteadyData,25660,2025-03-23 23:28:42.937,0.52,0.51,-0.09,-3.75,3.38,27.69,17.69,-30.25,27.50
Bev_leftArmSteadyData,25766,2025-03-23 23:28:43.044,0.24,0.22,-0.19,-6.44,3.81,39.81,17.00,-31.06,28.37
Bev_leftArmSteadyData,25874,2025-03-23 23:28:43.151,-0.13,0.15,-0.31,-14.19,14.44,42.44,12.88,-33.56,27.50
Bev_leftArmSteadyData,25981,2025-03-23 23:28:43.256,-0.16,0.24,-0.62,-12.38,-3.25,53.75,9.50,-35.06,27.56
Bev_leftArmSteadyData,26089,2025-03-23 23:28:43.363,-0.12,-0.03,-1.10,-14.00,-8.94,72.37,5.50,-37.00,26.75
Bev_leftArmSteadyData,26196,2025-03-23 23:28:43.473,-0.10,0.65,-0.47,-20.81,-22.69,96.25,1.37,-38.06,25.19
Bev_leftArmSteadyData,26306,2025-03-23 23:28:43.581,0.11,0.19,-0.29,-18.62,-31.75,109.31,-4.06,-38.56,23.69
