Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_rightArmFastData,Initializing BNO055...,2025-03-23 23:31:53.306
Bev_rightArmFastData,BNO055 Initialized Successfully!,2025-03-23 23:31:53.306
Bev_rightArmFastData,Logging started...,2025-03-23 23:31:53.311
Bev_rightArmFastData,30772,2025-03-23 23:31:53.313,-1.14,0.35,-0.45,5.69,14.13,-1.37,28.50,-31.06,5.25
Bev_rightArmFastData,30881,2025-03-23 23:31:53.315,-0.26,5.68,0.15,-31.94,39.06,-58.19,28.56,-31.06,4.00
Bev_rightArmFastData,30990,2025-03-23 23:31:53.316,-0.78,1.44,-2.43,-42.94,-66.94,-109.94,31.19,-29.56,0.75
Bev_rightArmFastData,31097,2025-03-23 23:31:53.317,0.79,3.01,-0.85,-5.88,36.88,-90.31,36.00,-23.87,-2.06
Bev_rightArmFastData,31204,2025-03-23 23:31:53.318,1.32,1.49,1.33,-54.69,-1.06,54.69,38.88,-17.87,-3.25
Bev_rightArmFastData,31311,2025-03-23 23:31:53.320,-0.69,-4.91,0.78,34.63,-12.13,208.63,36.00,-22.00,-4.88
Bev_rightArmFastData,31419,2025-03-23 23:31:53.321,0.74,-5.66,0.90,75.44,-81.62,230.19,25.56,-33.88,-4.56
Bev_rightArmFastData,31527,2025-03-23 23:31:53.322,-2.74,-3.36,-0.33,53.31,-18.56,135.06,12.25,-41.06,-1.56
Bev_rightArmFastData,31637,2025-03-23 23:31:53.322,-3.52,0.14,-0.77,62.88,44.31,91.37,1.37,-43.19,2.50
Bev_rightArmFastData,31747,2025-03-23 23:31:53.328,-4.13,5.09,1.40,36.31,89.31,65.31,-5.50,-43.06,7.00
Bev_rightArmFastData,31854,2025-03-23 23:31:53.436,-0.89,2.74,-1.13,-11.50,1.00,-17.69,-12.06,-40.88,10.19
Bev_rightArmFastData,31961,2025-03-23 23:31:53.545,0.46,2.55,-0.92,-6.81,-14.69,-36.19,-12.75,-41.38,10.88
Bev_rightArmFastData,32068,2025-03-23 23:31:53.652,4.86,5.29,-4.22,-40.44,87.94,-225.31,-8.25,-41.75,10.06
Bev_rightArmFastData,32179,2025-03-23 23:31:53.763,1.34,6.73,-1.67,-79.25,59.13,-310.00,8.75,-42.50,5.56
Bev_rightArmFastData,32288,2025-03-23 23:31:53.871,4.61,-3.02,3.99,-32.63,-8.06,-93.44,27.56,-33.50,1.50
Bev_rightArmFastData,32399,2025-03-23 23:31:53.980,9.06,-13.86,-1.60,21.06,-149.88,332.94,32.06,-28.00,-1.69
Bev_rightArmFastData,32506,2025-03-23 23:31:54.091,-9.84,-2.07,1.02,123.19,40.31,151.44,14.75,-40.06,-5.75
Bev_rightArmFastData,32614,2025-03-23 23:31:54.197,-8.03,9.93,-5.16,126.50,93.69,34.06,-2.25,-43.19,5.50
Bev_rightArmFastData,32721,2025-03-23 23:31:54.300,11.66,6.26,-5.56,-54.00,-4.69,-211.25,-8.56,-41.00,12.88
Bev_rightArmFastData,32831,2025-03-23 23:31:54.399,5.26,5.20,1.74,-89.00,-51.38,-307.50,7.69,-41.25,11.69
Bev_rightArmFastData,32942,2025-03-23 23:31:54.525,4.05,-2.59,5.23,-33.13,-68.00,-53.06,28.06,-32.88,6.75
Bev_rightArmFastData,33051,2025-03-23 23:31:54.635,5.35,-12.01,-3.21,68.31,-128.50,266.81,31.75,-28.87,2.19
Bev_rightArmFastData,33159,2025-03-23 23:31:54.742,-16.11,-8.94,4.86,9.13,36.88,233.88,19.25,-39.06,-0.88
Bev_rightArmFastData,33266,2025-03-23 23:31:54.849,-9.60,11.75,-0.13,106.12,60.13,83.37,-4.38,-42.69,6.06
Bev_rightArmFastData,33374,2025-03-23 23:31:54.956,10.49,7.85,-8.48,-45.19,-89.00,-223.19,-8.50,-40.00,15.00
Bev_rightArmFastData,33483,2025-03-23 23:31:55.066,4.89,2.98,1.68,-51.94,-41.44,-272.44,9.69,-40.00,15.00
Bev_rightArmFastData,33594,2025-03-23 23:31:55.176,4.99,-1.64,5.05,-20.31,-9.19,-61.19,27.37,-32.69,10.50
Bev_rightArmFastData,33704,2025-03-23 23:31:55.286,4.70,-9.29,-0.19,-74.56,-96.37,247.38,31.19,-29.00,8.88
Bev_rightArmFastData,33811,2025-03-23 23:31:55.394,-7.57,-7.91,-0.69,-41.63,-0.75,234.75,20.06,-39.06,1.19
Bev_rightArmFastData,33918,2025-03-23 23:31:55.500,-8.39,9.62,-1.97,113.56,27.62,60.56,-0.25,-43.50,2.75
Bev_rightArmFastData,34026,2025-03-23 23:31:55.600,12.78,10.37,-10.94,-28.56,-122.69,-181.88,-5.50,-40.88,13.88
Bev_rightArmFastData,34137,2025-03-23 23:31:55.717,6.17,5.33,3.16,-86.00,-32.63,-303.06,12.56,-40.19,13.50
Bev_rightArmFastData,34246,2025-03-23 23:31:55.828,5.03,-1.23,6.08,-68.56,-26.37,-80.06,31.19,-29.87,9.25
Bev_rightArmFastData,34357,2025-03-23 23:31:55.938,6.27,-10.36,-3.19,-42.44,-159.13,271.13,34.88,-26.19,4.75
Bev_rightArmFastData,34464,2025-03-23 23:31:56.046,-2.67,-6.86,-2.30,54.94,-65.37,275.00,23.75,-36.50,-3.19
Bev_rightArmFastData,34572,2025-03-23 23:31:56.150,-6.41,3.74,2.85,81.25,1.19,87.12,4.06,-43.56,3.19
Bev_rightArmFastData,34678,2025-03-23 23:31:56.260,11.28,13.70,-11.57,-63.50,-207.13,-158.31,-5.06,-42.06,14.19
Bev_rightArmFastData,34789,2025-03-23 23:31:56.369,7.60,2.95,-0.08,-84.56,-89.56,-285.13,12.69,-39.56,15.00
Bev_rightArmFastData,34898,2025-03-23 23:31:56.480,4.81,0.54,4.70,-32.13,-0.50,-83.25,31.56,-29.19,10.88
Bev_rightArmFastData,35009,2025-03-23 23:31:56.589,3.46,-6.02,2.69,-65.56,-72.50,236.88,35.38,-23.25,9.25
Bev_rightArmFastData,35117,2025-03-23 23:31:56.696,-4.20,-9.27,-2.68,-14.56,-61.38,253.56,28.25,-34.75,4.38
Bev_rightArmFastData,35224,2025-03-23 23:31:56.802,-6.92,-0.45,-0.50,88.06,53.75,57.13,5.00,-43.69,4.00
Bev_rightArmFastData,35331,2025-03-23 23:31:56.900,0.26,17.93,-13.18,150.50,-39.06,61.94,-2.50,-43.00,10.88
Bev_rightArmFastData,35441,2025-03-23 23:31:57.023,-0.37,11.48,-3.56,-11.50,-38.56,-407.19,3.88,-41.56,14.25
Bev_rightArmFastData,35551,2025-03-23 23:31:57.131,6.08,3.31,6.82,-36.69,26.00,-141.06,28.69,-31.56,10.19
