Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_rightArmSlowData,Initializing BNO055...,2025-03-23 23:34:40.983
Bev_rightArmSlowData,BNO055 Initialized Successfully!,2025-03-23 23:34:40.984
Bev_rightArmSlowData,Logging started...,2025-03-23 23:34:40.986
Bev_rightArmSlowData,19969,2025-03-23 23:34:40.987,1.06,-0.04,-0.38,2.06,2.81,-5.94,21.75,-22.50,-22.87
Bev_rightArmSlowData,20078,2025-03-23 23:34:40.988,0.17,0.40,-0.26,2.44,-10.69,-1.06,22.87,-21.00,-23.69
Bev_rightArmSlowData,20188,2025-03-23 23:34:40.989,-0.39,1.76,-0.10,23.94,35.06,43.81,22.37,-22.06,-21.56
Bev_rightArmSlowData,20298,2025-03-23 23:34:40.990,-0.46,3.68,-0.25,-30.81,49.25,-91.44,23.25,-22.87,-20.37
Bev_rightArmSlowData,20406,2025-03-23 23:34:40.991,0.27,2.51,-1.07,-59.06,7.63,-142.75,27.25,-21.25,-20.06
Bev_rightArmSlowData,20513,2025-03-23 23:34:40.992,0.57,1.81,-1.07,-56.06,-51.88,-115.37,31.75,-11.75,-23.69
Bev_rightArmSlowData,20621,2025-03-23 23:34:40.993,0.95,1.20,0.19,26.62,4.56,-84.44,32.19,-5.88,-27.87
Bev_rightArmSlowData,20730,2025-03-23 23:34:40.994,1.69,0.71,0.15,57.25,27.37,-33.38,33.88,-3.06,-26.19
Bev_rightArmSlowData,20840,2025-03-23 23:34:40.995,0.60,1.09,2.24,56.38,99.12,10.50,35.38,-4.25,-23.19
Bev_rightArmSlowData,20951,2025-03-23 23:34:41.021,0.05,-1.69,4.38,92.87,118.19,48.06,38.88,-5.38,-16.87
Bev_rightArmSlowData,21058,2025-03-23 23:34:41.128,2.60,-5.37,-0.19,15.25,-33.44,163.44,40.25,-10.88,-7.38
Bev_rightArmSlowData,21166,2025-03-23 23:34:41.234,1.39,-4.88,-0.26,2.94,-132.63,233.25,31.56,-25.75,-8.25
Bev_rightArmSlowData,21273,2025-03-23 23:34:41.341,-3.36,-0.60,0.21,-0.50,5.94,132.19,17.06,-35.69,-9.19
Bev_rightArmSlowData,21383,2025-03-23 23:34:41.452,-3.94,0.28,0.16,26.87,-6.75,19.06,9.38,-40.19,-7.75
Bev_rightArmSlowData,21493,2025-03-23 23:34:41.562,-1.98,1.81,-0.30,91.37,2.19,95.62,6.88,-41.06,-1.69
Bev_rightArmSlowData,21603,2025-03-23 23:34:41.673,1.49,3.26,-1.64,23.56,-122.12,90.06,1.50,-43.00,4.06
Bev_rightArmSlowData,21710,2025-03-23 23:34:41.779,-0.93,0.87,-1.20,-42.31,-6.25,-64.06,-5.75,-41.56,7.19
Bev_rightArmSlowData,21818,2025-03-23 23:34:41.885,0.36,0.57,-1.66,-5.81,15.44,-79.31,0.56,-42.38,6.50
Bev_rightArmSlowData,21924,2025-03-23 23:34:41.993,3.74,-0.48,-0.52,-20.06,42.50,-71.37,7.06,-42.50,4.56
Bev_rightArmSlowData,22035,2025-03-23 23:34:42.103,0.98,0.02,-0.89,-38.25,23.06,-105.44,12.69,-40.19,3.75
Bev_rightArmSlowData,22146,2025-03-23 23:34:42.200,0.15,0.85,-0.67,-25.12,3.06,-112.31,20.87,-37.75,3.38
