Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_rightArmSteadyData,Initializing BNO055...,2025-03-23 23:36:34.379
Bev_rightArmSteadyData,BNO055 Initialized Successfully!,2025-03-23 23:36:34.381
Bev_rightArmSteadyData,Logging started...,2025-03-23 23:36:34.382
Bev_rightArmSteadyData,19070,2025-03-23 23:36:34.385,-0.41,0.15,-0.13,6.69,15.44,-2.31,24.19,-33.00,-8.38
Bev_rightArmSteadyData,19179,2025-03-23 23:36:34.386,2.17,3.30,-0.31,-25.37,-18.94,5.06,24.19,-32.56,-8.75
Bev_rightArmSteadyData,19286,2025-03-23 23:36:34.387,-0.73,0.38,0.01,-24.19,-0.44,-64.94,23.50,-33.00,-10.00
Bev_rightArmSteadyData,19395,2025-03-23 23:36:34.388,1.45,1.62,-0.58,-3.75,-13.88,-53.94,26.87,-30.00,-10.88
Bev_rightArmSteadyData,19503,2025-03-23 23:36:34.389,2.08,-0.11,-0.38,37.88,-15.75,-3.13,29.37,-27.37,-12.06
Bev_rightArmSteadyData,19609,2025-03-23 23:36:34.389,0.35,0.54,-0.20,5.06,-15.81,28.81,30.56,-26.69,-11.69
Bev_rightArmSteadyData,19717,2025-03-23 23:36:34.390,0.24,0.25,0.23,-4.44,33.81,16.06,28.87,-28.00,-11.19
Bev_rightArmSteadyData,19826,2025-03-23 23:36:34.391,-0.01,-0.42,-0.24,-2.06,25.06,37.75,28.06,-29.50,-9.50
Bev_rightArmSteadyData,19936,2025-03-23 23:36:34.392,-0.56,-0.60,0.12,-4.88,-5.50,53.88,27.06,-30.69,-9.06
Bev_rightArmSteadyData,20046,2025-03-23 23:36:34.404,-0.52,-0.85,-0.34,-9.94,-3.50,74.50,23.56,-33.25,-9.38
Bev_rightArmSteadyData,20153,2025-03-23 23:36:34.522,-0.57,-1.22,0.13,2.44,23.69,70.87,19.37,-36.25,-10.69
Bev_rightArmSteadyData,20260,2025-03-23 23:36:34.629,-0.26,-1.41,-0.23,2.63,0.44,47.81,11.50,-38.75,-10.69
Bev_rightArmSteadyData,20368,2025-03-23 23:36:34.739,0.06,-2.68,-0.77,30.37,-0.56,63.44,7.75,-40.00,-9.38
Bev_rightArmSteadyData,20477,2025-03-23 23:36:34.847,-0.65,-0.92,-0.18,59.13,33.31,84.94,4.56,-41.25,-5.69
Bev_rightArmSteadyData,20588,2025-03-23 23:36:34.955,-0.46,0.80,0.00,51.94,38.44,84.75,-2.06,-42.38,-1.25
Bev_rightArmSteadyData,20699,2025-03-23 23:36:35.067,0.61,2.17,-0.10,40.13,-0.81,51.19,-8.50,-41.88,1.88
Bev_rightArmSteadyData,20805,2025-03-23 23:36:35.173,1.22,0.67,-0.30,-3.50,-13.19,-7.88,-12.00,-42.25,6.69
Bev_rightArmSteadyData,20913,2025-03-23 23:36:35.280,0.51,0.05,-0.82,-3.44,-9.69,-0.81,-11.88,-41.88,6.56
Bev_rightArmSteadyData,21020,2025-03-23 23:36:35.390,0.26,-0.11,-0.55,5.56,-1.75,0.50,-11.06,-42.00,5.38
Bev_rightArmSteadyData,21130,2025-03-23 23:36:35.498,-0.09,0.72,-0.33,6.63,2.44,-9.13,-11.88,-41.56,7.25
Bev_rightArmSteadyData,21239,2025-03-23 23:36:35.600,-0.71,0.61,-0.13,-5.13,1.31,-44.88,-11.06,-42.38,6.88
Bev_rightArmSteadyData,21350,2025-03-23 23:36:35.703,-0.59,0.58,0.40,10.94,11.75,-46.94,-8.38,-42.69,6.50
Bev_rightArmSteadyData,21456,2025-03-23 23:36:35.824,0.36,0.51,0.00,-1.81,5.06,-51.31,-4.88,-42.69,7.69
Bev_rightArmSteadyData,21564,2025-03-23 23:36:35.932,1.67,-0.12,-0.46,-7.13,7.69,-49.56,0.06,-43.06,7.00
Bev_rightArmSteadyData,21670,2025-03-23 23:36:36.025,1.13,0.08,-0.55,-27.25,-6.44,-69.81,4.88,-43.06,7.38
Bev_rightArmSteadyData,21780,2025-03-23 23:36:36.148,0.65,0.29,-0.51,-20.69,12.25,-79.75,10.06,-42.50,4.00
Bev_rightArmSteadyData,21888,2025-03-23 23:36:36.256,0.93,0.48,-0.61,-27.31,11.63,-108.69,15.25,-41.25,2.75
Bev_rightArmSteadyData,21995,2025-03-23 23:36:36.365,0.65,0.63,-0.26,-23.81,22.25,-121.31,23.06,-37.69,3.19
Bev_rightArmSteadyData,22105,2025-03-23 23:36:36.472,0.75,0.37,-0.01,-30.12,6.00,-114.25,29.69,-32.06,2.75
Bev_rightArmSteadyData,22212,2025-03-23 23:36:36.578,1.05,0.73,0.42,-23.56,17.81,-109.19,34.69,-25.75,2.00
Bev_rightArmSteadyData,22319,2025-03-23 23:36:36.687,1.02,0.60,0.16,-34.00,0.00,-72.56,40.38,-14.56,1.19
Bev_rightArmSteadyData,22426,2025-03-23 23:36:36.795,0.12,0.91,1.28,-52.88,-15.69,-4.50,42.38,-10.19,0.00
Bev_rightArmSteadyData,22536,2025-03-23 23:36:36.902,-0.14,-1.49,-0.47,-104.12,-89.94,85.56,42.38,-9.50,-2.06
Bev_rightArmSteadyData,22645,2025-03-23 23:36:37.000,1.17,-3.51,-2.50,10.19,-94.56,158.63,39.50,-14.25,-12.06
Bev_rightArmSteadyData,22756,2025-03-23 23:36:37.124,-0.52,-1.64,-1.00,85.75,0.31,127.56,32.88,-23.75,-16.50
Bev_rightArmSteadyData,22863,2025-03-23 23:36:37.229,0.09,-1.71,-0.66,72.94,14.00,86.62,25.69,-32.56,-14.06
Bev_rightArmSteadyData,22971,2025-03-23 23:36:37.336,-1.07,0.67,-0.08,67.62,35.81,73.69,17.56,-39.69,-7.50
Bev_rightArmSteadyData,23077,2025-03-23 23:36:37.445,-1.23,1.18,0.07,35.25,15.81,56.00,12.06,-41.88,-1.75
Bev_rightArmSteadyData,23188,2025-03-23 23:36:37.553,-0.35,0.55,-0.05,33.44,14.75,33.56,8.38,-43.50,0.56
Bev_rightArmSteadyData,23298,2025-03-23 23:36:37.664,-0.16,0.05,-0.34,45.13,-29.12,50.50,5.50,-44.25,3.38
Bev_rightArmSteadyData,23408,2025-03-23 23:36:37.775,0.15,2.03,-0.90,21.75,-31.81,12.81,1.75,-43.50,7.06
Bev_rightArmSteadyData,23516,2025-03-23 23:36:37.880,0.49,0.42,-0.17,1.69,5.69,-68.56,1.06,-42.75,8.69
Bev_rightArmSteadyData,23622,2025-03-23 23:36:37.987,0.49,-0.31,0.21,12.00,23.81,-44.00,7.25,-42.00,8.75
Bev_rightArmSteadyData,23730,2025-03-23 23:36:38.097,0.88,0.28,-0.71,5.94,-12.38,-39.06,10.00,-41.00,10.00
Bev_rightArmSteadyData,23839,2025-03-23 23:36:38.204,1.11,0.17,-0.48,-16.44,-16.19,-96.62,14.00,-40.25,10.00
Bev_rightArmSteadyData,23948,2025-03-23 23:36:38.315,0.74,-0.13,0.00,6.19,5.75,-87.75,20.69,-37.69,9.19
Bev_rightArmSteadyData,24055,2025-03-23 23:36:38.422,0.66,0.18,-0.06,-5.69,-4.31,-91.00,25.25,-34.00,10.38
Bev_rightArmSteadyData,24164,2025-03-23 23:36:38.531,0.91,0.87,0.08,-14.19,-5.00,-101.69,30.75,-29.50,10.06
Bev_rightArmSteadyData,24271,2025-03-23 23:36:38.638,0.70,0.76,0.33,-29.00,-7.31,-102.00,35.25,-24.37,8.88
Bev_rightArmSteadyData,24378,2025-03-23 23:36:38.744,-0.20,-0.03,0.75,-29.62,14.63,-72.19,40.38,-14.69,6.38
Bev_rightArmSteadyData,24485,2025-03-23 23:36:38.851,1.27,-1.03,-0.02,-44.69,-22.12,-14.50,41.69,-10.19,5.56
Bev_rightArmSteadyData,24594,2025-03-23 23:36:38.961,-0.24,-0.36,0.16,-39.81,-42.81,39.19,41.25,-9.88,2.25
Bev_rightArmSteadyData,24704,2025-03-23 23:36:39.069,0.10,-0.03,0.19,-37.94,-45.56,75.87,42.00,-12.88,-0.50
Bev_rightArmSteadyData,24814,2025-03-23 23:36:39.178,1.06,-1.55,-0.62,-33.75,-69.87,131.00,40.19,-17.69,-4.19
Bev_rightArmSteadyData,24921,2025-03-23 23:36:39.286,1.03,-2.51,-0.99,30.00,-49.88,150.69,34.25,-25.00,-9.50
Bev_rightArmSteadyData,25028,2025-03-23 23:36:39.395,-0.46,-1.22,-1.24,72.56,11.06,112.12,22.37,-36.06,-12.00
Bev_rightArmSteadyData,25136,2025-03-23 23:36:39.501,-1.41,-0.74,-0.12,67.06,14.81,68.94,14.88,-40.56,-7.88
Bev_rightArmSteadyData,25245,2025-03-23 23:36:39.603,-1.52,-0.59,0.18,33.44,3.81,51.75,10.88,-42.75,-2.50
Bev_rightArmSteadyData,25356,2025-03-23 23:36:39.720,-0.58,0.38,-1.08,16.94,13.25,32.00,7.19,-43.88,0.25
Bev_rightArmSteadyData,25465,2025-03-23 23:36:39.830,-0.21,0.95,-1.12,55.06,-10.38,34.06,5.00,-44.25,1.88
Bev_rightArmSteadyData,25573,2025-03-23 23:36:39.937,0.66,1.37,-0.35,35.50,-45.00,41.00,2.00,-43.50,5.56
Bev_rightArmSteadyData,25680,2025-03-23 23:36:40.044,0.45,0.88,0.51,8.13,9.94,-43.81,0.50,-43.19,10.06
Bev_rightArmSteadyData,25787,2025-03-23 23:36:40.150,0.27,-0.06,0.10,-6.56,-5.31,-58.81,3.50,-42.88,10.06
Bev_rightArmSteadyData,25897,2025-03-23 23:36:40.261,-0.12,-0.13,-0.94,-6.75,-26.37,-56.00,7.88,-42.06,9.69
Bev_rightArmSteadyData,26007,2025-03-23 23:36:40.372,-0.19,-5.56,-2.65,-71.56,-72.81,-49.00,12.38,-41.69,8.88
Bev_rightArmSteadyData,26118,2025-03-23 23:36:40.482,0.72,0.39,0.24,-25.31,-33.00,-76.75,16.06,-39.88,10.50
Bev_rightArmSteadyData,26224,2025-03-23 23:36:40.587,-0.79,-0.38,-0.95,6.56,-10.19,-89.81,21.69,-38.00,6.75
Bev_rightArmSteadyData,26332,2025-03-23 23:36:40.695,0.20,0.36,-0.34,15.81,-15.94,-100.50,30.56,-31.00,7.25
Bev_rightArmSteadyData,26439,2025-03-23 23:36:40.803,0.84,0.46,0.00,4.44,5.63,-93.81,34.75,-25.37,7.69
Bev_rightArmSteadyData,26548,2025-03-23 23:36:40.903,0.53,1.15,0.85,-8.88,1.81,-82.69,38.06,-19.50,8.06
