Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_waistFastData,Initializing BNO055...,2025-03-23 23:49:28.642
Bev_waistFastData,BNO055 Initialized Successfully!,2025-03-23 23:49:28.643
Bev_waistFastData,Logging started...,2025-03-23 23:49:28.645
Bev_waistFastData,94379,2025-03-23 23:49:28.647,0.13,0.00,0.08,1.56,-1.44,-0.94,-32.69,-18.19,-22.56
Bev_waistFastData,94488,2025-03-23 23:49:28.648,-0.09,-0.05,0.31,1.94,-2.31,-2.56,-32.69,-18.19,-22.56
Bev_waistFastData,94598,2025-03-23 23:49:28.649,0.11,0.17,0.11,2.56,-5.50,-1.37,-31.87,-18.87,-22.19
Bev_waistFastData,94707,2025-03-23 23:49:28.651,0.05,0.03,0.35,3.50,-6.06,-1.25,-32.38,-18.87,-22.56
Bev_waistFastData,94815,2025-03-23 23:49:28.652,-0.26,-0.24,0.07,5.69,-7.81,-0.25,-32.75,-19.25,-21.00
Bev_waistFastData,94921,2025-03-23 23:49:28.653,0.00,-0.10,-0.13,4.31,-4.63,0.44,-33.50,-18.87,-21.37
Bev_waistFastData,95029,2025-03-23 23:49:28.654,-0.11,-0.22,-0.28,3.75,-2.94,-0.44,-33.50,-19.69,-21.37
Bev_waistFastData,95136,2025-03-23 23:49:28.656,-0.17,-0.15,-0.08,5.06,-8.38,0.00,-33.88,-20.00,-20.56
Bev_waistFastData,95243,2025-03-23 23:49:28.656,0.07,0.28,-0.24,-2.00,-2.75,3.13,-33.88,-20.37,-20.19
Bev_waistFastData,95352,2025-03-23 23:49:28.704,-0.23,-0.43,-0.09,2.50,2.81,2.94,-34.19,-20.00,-20.56
Bev_waistFastData,95462,2025-03-23 23:49:28.819,-0.13,-0.09,-0.17,-1.31,6.19,1.69,-33.75,-19.69,-19.75
Bev_waistFastData,95568,2025-03-23 23:49:28.925,-0.29,0.03,0.00,-5.38,14.44,-0.94,-33.75,-20.00,-20.19
