Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_waistSlowData,Initializing BNO055...,2025-03-23 23:51:48.854
Bev_waistSlowData,BNO055 Initialized Successfully!,2025-03-23 23:51:48.857
Bev_waistSlowData,Logging started...,2025-03-23 23:51:48.858
Bev_waistSlowData,11869,2025-03-23 23:51:48.861,0.34,0.12,0.06,-2.44,-1.44,2.69,-21.37,-13.25,-21.06
Bev_waistSlowData,11975,2025-03-23 23:51:48.863,0.00,0.15,0.56,3.25,-7.69,2.25,-20.56,-12.50,-21.50
Bev_waistSlowData,12083,2025-03-23 23:51:48.865,0.38,0.19,0.49,9.38,-10.25,2.25,-22.06,-13.25,-20.75
Bev_waistSlowData,12190,2025-03-23 23:51:48.867,-0.01,-0.11,-0.12,13.00,-22.44,1.75,-21.56,-13.00,-19.25
Bev_waistSlowData,12299,2025-03-23 23:51:48.868,-0.16,-0.11,-0.16,11.31,-21.44,-1.00,-23.75,-14.19,-16.75
Bev_waistSlowData,12408,2025-03-23 23:51:48.869,0.02,-0.01,-0.15,7.81,-12.19,-2.44,-24.06,-15.00,-16.75
Bev_waistSlowData,12519,2025-03-23 23:51:48.870,0.02,0.02,0.13,6.19,-15.38,0.06,-24.19,-15.38,-16.50
Bev_waistSlowData,12626,2025-03-23 23:51:48.871,0.14,0.12,0.07,-1.00,11.31,-2.25,-25.25,-16.25,-15.56
Bev_waistSlowData,12733,2025-03-23 23:51:48.872,0.27,0.15,0.55,3.25,10.50,-14.00,-25.75,-15.75,-16.69
Bev_waistSlowData,12840,2025-03-23 23:51:48.900,0.06,-0.18,0.11,4.31,-14.94,-0.31,-24.69,-16.69,-15.56
Bev_waistSlowData,12951,2025-03-23 23:51:49.015,0.26,-0.17,-0.33,-14.31,10.31,-1.44,-24.50,-17.00,-17.56
Bev_waistSlowData,13061,2025-03-23 23:51:49.126,-0.32,0.23,-0.23,-17.81,26.25,0.19,-24.00,-16.56,-17.25
Bev_waistSlowData,13171,2025-03-23 23:51:49.237,0.43,0.27,0.05,-5.06,11.25,-9.19,-23.25,-16.19,-19.37
Bev_waistSlowData,13279,2025-03-23 23:51:49.343,0.03,-0.66,-0.18,-32.75,14.06,-11.75,-21.19,-16.50,-22.50
Bev_waistSlowData,13385,2025-03-23 23:51:49.450,-0.08,-0.20,0.40,-18.25,25.00,-10.13,-20.19,-15.25,-25.50
Bev_waistSlowData,13493,2025-03-23 23:51:49.556,0.05,0.19,0.77,-14.19,7.38,-3.81,-20.19,-14.88,-27.06
Bev_waistSlowData,13603,2025-03-23 23:51:49.667,0.07,0.33,1.12,0.94,4.81,-2.56,-18.75,-15.38,-28.19
Bev_waistSlowData,13713,2025-03-23 23:51:49.777,-0.13,0.21,0.60,17.69,-13.25,4.88,-19.19,-15.50,-28.25
Bev_waistSlowData,13824,2025-03-23 23:51:49.888,0.13,0.17,0.42,22.62,-17.81,8.94,-19.19,-16.00,-27.06
Bev_waistSlowData,13931,2025-03-23 23:51:49.994,0.26,0.15,0.58,38.06,-43.75,16.06,-20.37,-17.50,-26.00
Bev_waistSlowData,14038,2025-03-23 23:51:50.100,0.26,-0.21,-0.01,27.87,-45.25,16.87,-24.69,-19.69,-21.25
Bev_waistSlowData,14145,2025-03-23 23:51:50.199,0.39,-0.07,-0.98,30.94,-69.31,0.94,-26.56,-21.06,-20.37
Bev_waistSlowData,14256,2025-03-23 23:51:50.318,0.09,-1.20,-1.76,-5.13,-7.88,3.19,-27.69,-21.37,-15.00
Bev_waistSlowData,14366,2025-03-23 23:51:50.429,0.56,0.21,-0.16,1.94,-29.69,-3.94,-29.19,-21.87,-15.38
Bev_waistSlowData,14476,2025-03-23 23:51:50.540,0.64,0.36,0.02,10.13,-51.94,-1.75,-29.69,-22.37,-14.25
Bev_waistSlowData,14583,2025-03-23 23:51:50.646,0.00,-0.03,-0.54,1.25,-19.56,-3.88,-31.56,-22.25,-9.19
Bev_waistSlowData,14690,2025-03-23 23:51:50.752,0.45,-0.06,0.09,1.56,-3.94,-1.81,-31.69,-23.06,-8.06
Bev_waistSlowData,14797,2025-03-23 23:51:50.860,0.61,-0.13,0.06,6.19,-21.87,1.81,-32.69,-24.06,-5.19
