Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
Bev_waistSteadydata,Initializing BNO055...,2025-03-23 23:53:55.798
Bev_waistSteadydata,BNO055 Initialized Successfully!,2025-03-23 23:53:55.800
Bev_waistSteadydata,Logging started...,2025-03-23 23:53:55.800
Bev_waistSteadydata,44772,2025-03-23 23:53:55.804,0.01,-0.09,-0.13,-1.56,0.94,0.50,-24.00,-15.50,-23.75
Bev_waistSteadydata,44879,2025-03-23 23:53:55.805,0.17,0.10,-0.05,-0.56,-0.25,3.94,-24.00,-16.56,-23.75
Bev_waistSteadydata,44989,2025-03-23 23:53:55.806,0.43,0.21,-0.05,14.19,-14.50,1.25,-24.69,-15.06,-23.00
Bev_waistSteadydata,45096,2025-03-23 23:53:55.807,-0.01,-0.26,-0.11,10.56,-10.06,-2.19,-25.50,-16.87,-22.06
Bev_waistSteadydata,45203,2025-03-23 23:53:55.808,0.33,0.35,0.09,15.81,0.19,-5.56,-26.00,-17.37,-20.87
Bev_waistSteadydata,45310,2025-03-23 23:53:55.809,0.09,-0.19,0.50,25.37,-16.62,-1.31,-25.19,-18.50,-20.50
Bev_waistSteadydata,45420,2025-03-23 23:53:55.810,0.31,0.00,0.19,16.62,-13.13,2.50,-25.69,-20.06,-18.37
Bev_waistSteadydata,45531,2025-03-23 23:53:55.811,-0.04,0.08,-0.01,14.75,-34.69,0.50,-25.69,-20.19,-17.19
Bev_waistSteadydata,45640,2025-03-23 23:53:55.812,-0.20,0.28,-0.67,14.75,-16.94,7.38,-27.00,-22.06,-16.00
Bev_waistSteadydata,45748,2025-03-23 23:53:55.813,0.50,-0.07,-0.46,8.31,-3.50,2.56,-28.00,-22.00,-13.75
Bev_waistSteadydata,45855,2025-03-23 23:53:55.896,-0.17,-0.28,-0.50,5.00,-10.56,-0.81,-28.19,-22.56,-13.50
Bev_waistSteadydata,45963,2025-03-23 23:53:56.000,0.14,0.07,-0.48,-3.44,3.38,0.63,-28.87,-22.56,-13.88
Bev_waistSteadydata,46071,2025-03-23 23:53:56.102,0.23,-0.01,0.05,-10.44,13.06,-1.44,-29.19,-22.50,-14.00
Bev_waistSteadydata,46182,2025-03-23 23:53:56.225,0.23,0.08,-0.11,-23.50,18.81,-0.37,-28.25,-22.50,-14.88
Bev_waistSteadydata,46291,2025-03-23 23:53:56.333,0.04,0.00,-0.43,-27.69,33.19,-1.06,-28.25,-21.00,-16.50
Bev_waistSteadydata,46398,2025-03-23 23:53:56.439,-0.12,-0.09,-0.23,-23.12,52.31,-5.63,-27.69,-20.56,-19.69
Bev_waistSteadydata,46505,2025-03-23 23:53:56.548,0.38,-0.43,-0.45,-35.25,52.88,-7.44,-24.19,-19.06,-24.37
Bev_waistSteadydata,46613,2025-03-23 23:53:56.654,-0.37,0.52,0.49,-30.19,48.50,-6.50,-23.06,-18.37,-27.50
