Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
BevTest44RArmFastSlow,Initializing BNO055...,2025-04-04 12:38:35.064
BevTest44RArmFastSlow,BNO055 Initialized Successfully!,2025-04-04 12:38:35.064
BevTest44RArmFastSlow,Logging started...,2025-04-04 12:38:35.064
BevTest44RArmFastSlow,20468,2025-04-04 12:38:35.064,0.00,-0.44,0.00,8.38,-0.06,-5.63,-8.75,-19.06,-29.50
BevTest44RArmFastSlow,20576,2025-04-04 12:38:35.068,0.19,-0.67,0.00,11.31,-6.88,-3.56,-8.38,-20.00,-27.75
BevTest44RArmFastSlow,20683,2025-04-04 12:38:35.068,0.00,0.00,0.00,0.00,0.00,0.00,-8.75,-20.00,-28.19
BevTest44RArmFastSlow,20792,2025-04-04 12:38:35.070,0.00,0.00,0.00,-2.19,6.31,2.38,0.00,0.00,0.00
BevTest44RArmFastSlow,20898,2025-04-04 12:38:35.071,-0.44,-0.07,0.09,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmFastSlow,21006,2025-04-04 12:38:35.071,0.00,0.00,0.00,13.50,9.19,-15.81,-8.38,-22.19,-27.00
BevTest44RArmFastSlow,21112,2025-04-04 12:38:35.074,0.37,-0.14,0.05,13.06,8.25,-7.13,-6.69,-22.69,-26.56
BevTest44RArmFastSlow,21220,2025-04-04 12:38:35.075,0.09,-0.32,-0.15,14.50,-9.88,-0.06,-5.88,-23.87,-25.37
BevTest44RArmFastSlow,21327,2025-04-04 12:38:35.078,-0.07,-0.27,0.17,12.88,-13.88,-0.63,-6.75,-24.06,-23.69
BevTest44RArmFastSlow,21436,2025-04-04 12:38:35.078,0.83,0.25,0.57,0.00,0.00,0.00,-7.88,-25.56,-22.87
BevTest44RArmFastSlow,21544,2025-04-04 12:38:35.162,0.00,0.00,0.00,19.75,-43.50,17.37,0.00,0.00,0.00
BevTest44RArmFastSlow,21653,2025-04-04 12:38:35.269,-0.61,-0.92,-0.71,15.38,-27.37,13.06,0.00,0.00,0.00
BevTest44RArmFastSlow,21761,2025-04-04 12:38:35.371,-0.57,-0.19,-0.03,-15.06,2.69,0.75,-14.25,-26.87,-19.25
BevTest44RArmFastSlow,21867,2025-04-04 12:38:35.483,-0.59,-1.44,-1.47,-74.44,48.69,-5.81,-14.88,-25.69,-19.37
BevTest44RArmFastSlow,21975,2025-04-04 12:38:35.589,-2.74,-0.58,-5.62,33.81,160.38,-30.75,-10.50,-22.75,-26.37
BevTest44RArmFastSlow,22082,2025-04-04 12:38:35.703,-0.01,2.80,-1.06,241.75,110.56,-73.75,-0.75,-26.19,-23.75
BevTest44RArmFastSlow,22190,2025-04-04 12:38:35.812,0.00,0.00,0.00,234.88,75.75,-78.75,8.06,-33.38,-9.75
BevTest44RArmFastSlow,22299,2025-04-04 12:38:35.919,-0.52,1.28,4.47,73.81,96.56,-17.94,12.69,-34.75,4.06
BevTest44RArmFastSlow,22410,2025-04-04 12:38:36.032,0.27,0.32,0.87,18.12,73.50,17.19,11.19,-33.19,9.88
BevTest44RArmFastSlow,22517,2025-04-04 12:38:36.136,0.28,-0.03,0.88,12.06,26.50,31.62,8.69,-32.88,13.69
BevTest44RArmFastSlow,22624,2025-04-04 12:38:36.248,-0.13,0.41,1.95,-61.81,-5.13,48.88,5.25,-33.06,15.38
BevTest44RArmFastSlow,22731,2025-04-04 12:38:36.353,-0.70,0.55,2.10,-84.12,-93.19,41.13,1.75,-34.69,9.00
BevTest44RArmFastSlow,22840,2025-04-04 12:38:36.450,0.00,0.00,0.00,-83.31,-112.50,32.13,0.00,0.00,0.00
BevTest44RArmFastSlow,22946,2025-04-04 12:38:36.556,-0.28,-0.73,1.12,-82.62,-108.87,15.88,0.00,0.00,0.00
BevTest44RArmFastSlow,23054,2025-04-04 12:38:36.668,0.00,0.00,0.00,-215.88,-10.94,3.31,-2.25,-36.56,-6.25
BevTest44RArmFastSlow,23163,2025-04-04 12:38:36.781,0.00,0.00,0.00,0.00,0.00,0.00,-2.56,-32.69,-19.69
BevTest44RArmFastSlow,23270,2025-04-04 12:38:36.889,-0.64,2.60,1.53,202.25,81.75,-75.81,0.75,-30.37,-22.25
BevTest44RArmFastSlow,23377,2025-04-04 12:38:36.986,2.07,6.91,3.11,213.63,98.00,-46.81,13.88,-35.06,-5.25
BevTest44RArmFastSlow,23484,2025-04-04 12:38:37.099,-1.06,2.58,3.58,0.00,0.00,0.00,15.06,-33.38,7.19
BevTest44RArmFastSlow,23591,2025-04-04 12:38:37.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmFastSlow,23698,2025-04-04 12:38:37.320,-0.76,-2.74,1.92,-72.50,-134.13,58.81,4.50,-37.88,3.38
BevTest44RArmFastSlow,23805,2025-04-04 12:38:37.415,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-37.56,-3.50
BevTest44RArmFastSlow,23913,2025-04-04 12:38:37.522,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmFastSlow,24019,2025-04-04 12:38:37.636,-0.54,1.17,-4.65,4.63,-7.50,-3.38,-2.00,-31.69,-20.87
BevTest44RArmFastSlow,24127,2025-04-04 12:38:37.748,0.51,0.91,-2.14,96.25,63.13,-33.88,-1.25,-30.87,-23.00
BevTest44RArmFastSlow,24235,2025-04-04 12:38:37.854,-3.92,6.36,-0.71,207.31,29.25,-77.25,7.56,-33.50,-13.88
BevTest44RArmFastSlow,24341,2025-04-04 12:38:37.963,-0.76,2.12,2.52,128.19,-2.81,-26.12,14.19,-34.69,-0.37
BevTest44RArmFastSlow,24450,2025-04-04 12:38:38.068,0.00,0.00,0.00,-10.69,135.50,54.56,14.38,-34.00,6.50
BevTest44RArmFastSlow,24557,2025-04-04 12:38:38.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmFastSlow,24664,2025-04-04 12:38:38.283,-0.37,-0.50,2.30,-31.62,-84.31,117.94,0.00,0.00,0.00
BevTest44RArmFastSlow,24771,2025-04-04 12:38:38.390,0.00,0.00,0.00,-91.81,-104.19,74.25,-6.00,-37.69,3.69
BevTest44RArmFastSlow,24879,2025-04-04 12:38:38.487,-2.49,-2.30,-0.11,-173.50,-81.06,6.88,-10.69,-37.25,1.25
BevTest44RArmFastSlow,24986,2025-04-04 12:38:38.596,0.01,1.84,-6.47,-146.13,144.06,0.06,-11.38,-34.38,-14.25
BevTest44RArmFastSlow,25094,2025-04-04 12:38:38.713,-4.68,-2.29,-3.61,125.56,115.00,21.50,-5.06,-31.87,-20.69
BevTest44RArmFastSlow,25202,2025-04-04 12:38:38.824,0.56,4.35,2.59,240.06,178.44,-67.56,-0.25,-35.19,-14.25
