Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
BevTest44RArmSlowFast,Initializing BNO055...,2025-04-04 12:35:14.934
BevTest44RArmSlowFast,BNO055 Initialized Successfully!,2025-04-04 12:35:14.935
BevTest44RArmSlowFast,Logging started...,2025-04-04 12:35:14.936
BevTest44RArmSlowFast,67574,2025-04-04 12:35:14.937,0.04,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmSlowFast,67682,2025-04-04 12:35:14.937,0.00,0.08,0.07,0.12,1.69,-0.56,25.25,-19.00,-13.19
BevTest44RArmSlowFast,67789,2025-04-04 12:35:14.937,0.00,0.17,0.11,1.50,0.63,-0.37,25.25,-18.69,-11.50
BevTest44RArmSlowFast,67899,2025-04-04 12:35:14.942,0.24,0.12,0.09,5.56,3.88,0.12,26.06,-19.00,-12.25
BevTest44RArmSlowFast,68005,2025-04-04 12:35:14.944,0.06,0.42,1.16,-13.81,-12.19,5.25,24.56,-19.25,-11.06
BevTest44RArmSlowFast,68113,2025-04-04 12:35:14.944,0.03,0.27,0.76,-1.25,-33.19,20.87,24.19,-19.25,-14.25
BevTest44RArmSlowFast,68220,2025-04-04 12:35:14.944,0.06,0.38,1.58,-11.31,-49.31,32.63,22.75,-20.56,-14.25
BevTest44RArmSlowFast,68330,2025-04-04 12:35:14.948,-0.25,0.17,0.54,11.19,-73.06,39.94,21.19,-22.19,-17.19
BevTest44RArmSlowFast,68440,2025-04-04 12:35:14.948,-0.18,-0.28,0.01,0.00,0.00,0.00,17.06,-24.06,-19.06
BevTest44RArmSlowFast,68549,2025-04-04 12:35:14.954,-0.40,-0.74,-0.09,38.00,-107.81,18.44,13.69,-27.19,-19.75
BevTest44RArmSlowFast,68656,2025-04-04 12:35:15.061,-0.85,-0.66,-1.23,41.88,-100.87,0.44,8.50,-29.87,-20.00
BevTest44RArmSlowFast,68763,2025-04-04 12:35:15.161,0.00,0.00,0.00,80.56,-35.50,-3.63,5.00,-32.50,-17.25
BevTest44RArmSlowFast,68871,2025-04-04 12:35:15.277,0.24,1.03,0.78,109.62,-34.25,9.44,2.88,-36.88,-12.25
BevTest44RArmSlowFast,68978,2025-04-04 12:35:15.376,-0.76,0.22,1.62,12.13,17.12,18.81,0.00,0.00,0.00
BevTest44RArmSlowFast,69086,2025-04-04 12:35:15.486,-0.14,-1.24,0.13,-74.06,-20.50,26.87,1.06,-38.56,-7.00
BevTest44RArmSlowFast,69192,2025-04-04 12:35:15.593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmSlowFast,69300,2025-04-04 12:35:15.705,-0.94,-0.95,-6.53,0.00,0.00,0.00,-2.50,-34.19,-18.87
BevTest44RArmSlowFast,69407,2025-04-04 12:35:15.813,-1.82,2.87,-1.75,116.81,81.12,-47.88,0.06,-31.75,-22.75
BevTest44RArmSlowFast,69515,2025-04-04 12:35:15.922,-0.87,1.96,-0.56,125.06,107.56,-62.75,4.25,-35.19,-16.25
BevTest44RArmSlowFast,69622,2025-04-04 12:35:16.027,0.64,1.40,1.33,128.56,50.13,-23.56,13.50,-36.56,-2.00
BevTest44RArmSlowFast,69729,2025-04-04 12:35:16.124,0.28,0.80,0.81,64.75,85.00,0.88,14.19,-35.25,6.88
BevTest44RArmSlowFast,69837,2025-04-04 12:35:16.237,0.46,0.72,0.77,43.94,56.69,27.50,13.38,-34.25,11.50
BevTest44RArmSlowFast,69947,2025-04-04 12:35:16.343,0.65,-0.50,1.39,8.25,68.56,42.38,9.88,-33.88,14.38
BevTest44RArmSlowFast,70055,2025-04-04 12:35:16.456,0.44,-0.10,0.69,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmSlowFast,70163,2025-04-04 12:35:16.567,0.27,-0.23,0.44,-13.75,-5.88,45.63,1.19,-34.88,16.06
BevTest44RArmSlowFast,70269,2025-04-04 12:35:16.678,-0.52,-0.49,1.00,-23.31,-40.06,32.50,-1.88,-33.75,15.38
BevTest44RArmSlowFast,70377,2025-04-04 12:35:16.770,-0.01,-0.29,0.24,-33.38,-47.81,27.44,-3.00,-34.75,14.88
BevTest44RArmSlowFast,70484,2025-04-04 12:35:16.876,-0.30,-0.40,0.07,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArmSlowFast,70592,2025-04-04 12:35:16.989,-0.02,-0.56,-0.03,-56.94,-67.87,7.63,-4.00,-36.75,9.69
BevTest44RArmSlowFast,70701,2025-04-04 12:35:17.104,-0.05,-0.61,0.22,-73.94,-75.69,2.44,-3.25,-37.75,7.25
BevTest44RArmSlowFast,70810,2025-04-04 12:35:17.216,-0.05,-0.16,-0.36,-90.50,-51.44,4.00,-3.69,-39.25,3.19
BevTest44RArmSlowFast,70918,2025-04-04 12:35:17.308,0.03,-0.09,-0.61,-104.56,-23.56,5.88,-2.50,-38.88,-1.19
BevTest44RArmSlowFast,71025,2025-04-04 12:35:17.421,-0.65,-0.53,-0.71,-125.00,4.69,-3.50,-4.50,-36.06,-12.88
BevTest44RArmSlowFast,71133,2025-04-04 12:35:17.527,-0.66,0.48,-1.09,-78.31,-20.56,-35.06,-4.06,-33.88,-19.87
