Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
BevTest44RArm,Initializing BNO055...,2025-04-04 12:31:26.229
BevTest44RArm,BNO055 Initialized Successfully!,2025-04-04 12:31:26.229
BevTest44RArm,Logging started...,2025-04-04 12:31:26.230
BevTest44RArm,276399,2025-04-04 12:31:26.230,-0.42,0.03,0.00,4.63,-36.56,-4.44,-0.06,-28.87,-21.19
BevTest44RArm,276506,2025-04-04 12:31:26.231,0.75,-0.45,-0.41,-3.25,-28.56,-7.00,-1.50,-29.25,-20.75
BevTest44RArm,276614,2025-04-04 12:31:26.231,-0.15,0.15,-0.47,0.00,-44.00,-2.94,0.00,0.00,0.00
BevTest44RArm,276720,2025-04-04 12:31:26.231,-0.60,0.02,0.03,15.31,-20.56,-1.81,-4.06,-30.06,-20.50
BevTest44RArm,276829,2025-04-04 12:31:26.234,0.00,0.00,0.00,0.00,0.00,0.00,-3.69,-30.75,-21.25
BevTest44RArm,276936,2025-04-04 12:31:26.237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArm,277043,2025-04-04 12:31:26.238,-0.12,0.13,-0.52,16.44,-12.50,-4.44,-4.00,-31.87,-18.50
BevTest44RArm,277150,2025-04-04 12:31:26.238,-0.05,0.22,-0.38,9.06,-8.06,3.00,-3.56,-32.69,-17.25
BevTest44RArm,277257,2025-04-04 12:31:26.240,0.00,0.00,-0.20,3.63,-0.81,8.13,-3.56,-33.38,-16.06
BevTest44RArm,277364,2025-04-04 12:31:26.262,0.05,-0.05,-0.05,0.12,-0.31,9.31,-5.06,-34.06,-14.88
BevTest44RArm,277472,2025-04-04 12:31:26.381,-0.14,-0.06,-0.13,-3.00,-3.69,5.19,-4.69,-33.75,-16.50
BevTest44RArm,277580,2025-04-04 12:31:26.489,-0.04,-0.11,-0.16,0.00,0.00,0.00,0.00,0.00,0.00
BevTest44RArm,277687,2025-04-04 12:31:26.590,0.18,0.08,-0.11,-4.81,-6.25,-1.25,0.00,0.00,0.00
BevTest44RArm,277794,2025-04-04 12:31:26.700,0.45,0.44,-0.03,-5.06,-15.88,7.38,-5.38,-33.75,-17.25
BevTest44RArm,277902,2025-04-04 12:31:26.809,0.43,1.73,0.86,-15.13,-10.63,31.00,-6.56,-33.75,-17.69
BevTest44RArm,278008,2025-04-04 12:31:26.918,-1.63,-2.11,-1.09,-77.06,24.19,26.94,-9.19,-31.56,-17.69
