Participant,Date_Time,Timestamp (ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
BevTestNewSteady,Initializing BNO055...,2025-04-09 05:01:15.816
BevTestNewSteady,BNO055 Initialized Successfully!,2025-04-09 05:01:15.818
BevTestNewSteady,Logging started...,2025-04-09 05:01:15.818
BevTestNewSteady,102080,2025-04-09 05:01:15.822,0.01,-0.04,0.24,-0.50,1.37,-0.56,4.38,-32.19,12.50
BevTestNewSteady,102190,2025-04-09 05:01:15.824,-1.15,-0.50,0.13,10.06,3.69,-0.88,4.00,-32.56,12.50
BevTestNewSteady,102299,2025-04-09 05:01:15.828,0.48,0.35,0.25,-1.06,-12.94,5.50,4.00,-31.75,14.88
BevTestNewSteady,102407,2025-04-09 05:01:15.830,0.10,0.15,-0.45,-12.94,-7.19,1.56,4.75,-32.88,14.06
BevTestNewSteady,102513,2025-04-09 05:01:15.831,0.00,0.01,-0.36,-21.75,-5.06,1.00,5.19,-32.88,11.25
BevTestNewSteady,102621,2025-04-09 05:01:15.831,-0.16,-0.11,-0.35,-26.19,-6.06,-4.06,4.75,-33.19,11.25
BevTestNewSteady,102730,2025-04-09 05:01:15.835,-0.12,-0.27,-0.30,-19.37,1.12,-18.12,5.88,-33.19,10.06
BevTestNewSteady,102840,2025-04-09 05:01:15.835,0.12,0.00,0.22,-19.00,-3.25,-23.62,7.25,-34.56,9.38
BevTestNewSteady,102946,2025-04-09 05:01:15.835,0.04,-0.65,0.24,-16.69,-5.00,-16.94,8.38,-35.00,7.38
BevTestNewSteady,103055,2025-04-09 05:01:15.838,0.28,0.43,-0.52,10.75,5.63,-21.19,9.06,-34.00,7.06
BevTestNewSteady,103162,2025-04-09 05:01:15.909,0.12,-0.44,0.49,26.12,41.44,-24.44,10.25,-34.25,8.19
BevTestNewSteady,103269,2025-04-09 05:01:16.008,0.00,-0.39,0.58,20.00,5.25,-4.75,11.56,-33.06,11.75
BevTestNewSteady,103376,2025-04-09 05:01:16.123,0.29,-0.53,0.04,23.00,13.00,-5.50,11.19,-33.50,12.56
BevTestNewSteady,103486,2025-04-09 05:01:16.222,0.54,-0.47,0.67,36.19,39.31,-1.56,12.00,-32.50,13.75
BevTestNewSteady,103596,2025-04-09 05:01:16.340,-0.46,-0.73,2.18,8.69,5.38,22.87,10.50,-31.75,16.50
BevTestNewSteady,103706,2025-04-09 05:01:16.454,-1.22,-0.05,1.52,-46.75,3.50,7.44,9.38,-31.37,16.50
BevTestNewSteady,103814,2025-04-09 05:01:16.557,-0.35,-2.25,-0.65,-91.87,-22.12,-4.13,7.88,-32.88,13.38
BevTestNewSteady,103920,2025-04-09 05:01:16.660,0.23,2.95,-0.63,-46.69,43.38,-42.75,9.00,-33.56,5.88
BevTestNewSteady,104028,2025-04-09 05:01:16.774,-0.04,1.68,-0.88,-64.37,-2.75,-49.75,11.56,-33.25,2.88
BevTestNewSteady,104138,2025-04-09 05:01:16.874,0.31,1.07,-0.75,-59.81,38.31,-76.25,14.19,-32.25,-0.69
BevTestNewSteady,104249,2025-04-09 05:01:16.991,0.53,0.49,-0.53,-41.50,40.31,-80.31,18.69,-31.19,-1.88
BevTestNewSteady,104358,2025-04-09 05:01:17.108,0.51,0.30,-0.96,-22.81,8.75,-60.69,23.00,-27.75,-2.19
BevTestNewSteady,104466,2025-04-09 05:01:17.210,1.38,0.23,-1.22,13.56,27.25,-49.44,26.75,-26.00,-3.88
BevTestNewSteady,104573,2025-04-09 05:01:17.322,0.73,-0.84,-0.35,46.88,-5.00,-19.94,30.25,-22.00,1.00
BevTestNewSteady,104680,2025-04-09 05:01:17.424,0.52,-0.41,-0.03,72.37,10.38,-24.75,32.06,-21.75,2.06
BevTestNewSteady,104790,2025-04-09 05:01:17.530,0.53,-0.38,0.05,100.31,2.69,-5.69,31.25,-19.37,5.69
BevTestNewSteady,104897,2025-04-09 05:01:17.646,-0.08,0.28,1.56,117.75,20.12,17.69,32.06,-19.25,8.75
BevTestNewSteady,105005,2025-04-09 05:01:17.747,0.86,-0.04,1.02,98.00,34.13,54.25,31.25,-16.37,14.75
