Participant,Date_Time,Timestamp ,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
CardboardTest,Initializing BNO055...,2025-04-11 16:23:44.360
CardboardTest,BNO055 Initialized Successfully!,2025-04-11 16:23:44.364
CardboardTest,Logging started...,2025-04-11 16:23:44.364
CardboardTest,74677,2025-04-11 16:23:44.365,-0.04,-0.08,-0.01,-0.06,0.00,-0.06,-1.00,17.19,-48.69
CardboardTest,74786,2025-04-11 16:23:44.369,-0.04,-0.06,-0.02,-0.06,0.00,-0.12,-1.69,17.19,-50.19
CardboardTest,74897,2025-04-11 16:23:44.371,-0.02,-0.08,-0.01,-0.06,-0.12,0.00,-0.56,17.19,-47.75
CardboardTest,75003,2025-04-11 16:23:44.372,-0.03,-0.08,0.00,0.00,-0.12,0.00,-1.00,16.06,-49.38
CardboardTest,75111,2025-04-11 16:23:44.374,-0.05,-0.09,0.00,-0.06,0.19,-0.12,-1.00,16.87,-48.69
CardboardTest,75220,2025-04-11 16:23:44.374,-0.04,-0.07,0.00,0.00,0.00,0.00,-1.69,17.19,-48.69
CardboardTest,75330,2025-04-11 16:23:44.377,-0.03,-0.07,-0.01,-0.12,-0.06,0.06,-1.37,17.56,-49.38
CardboardTest,75440,2025-04-11 16:23:44.377,-0.03,-0.08,-0.02,-0.12,0.00,-0.06,-1.00,17.19,-48.69
CardboardTest,75548,2025-04-11 16:23:44.377,-0.03,-0.07,-0.01,0.00,0.06,-0.06,-2.06,16.06,-47.75
CardboardTest,75656,2025-04-11 16:23:44.445,-0.04,-0.07,0.00,0.12,0.06,-0.06,-1.37,16.06,-47.75
CardboardTest,75764,2025-04-11 16:23:44.551,-0.04,-0.07,-0.01,0.06,0.12,-0.06,-1.37,16.06,-47.75
CardboardTest,75873,2025-04-11 16:23:44.659,-0.03,-0.07,0.01,0.06,-0.06,0.00,-1.69,17.19,-49.38
CardboardTest,75983,2025-04-11 16:23:44.773,-0.03,-0.07,-0.01,0.00,-0.12,-0.06,-0.56,16.50,-48.19
CardboardTest,76093,2025-04-11 16:23:44.876,-0.04,-0.08,-0.02,-0.06,0.00,0.06,-1.69,16.50,-47.50
CardboardTest,76201,2025-04-11 16:23:44.990,-0.02,-0.08,-0.02,0.00,0.06,0.00,-2.06,16.87,-49.00
CardboardTest,76308,2025-04-11 16:23:45.096,-0.03,-0.05,-0.01,0.06,0.00,0.06,-1.69,16.50,-48.69
CardboardTest,76417,2025-04-11 16:23:45.192,-0.06,-0.08,-0.01,0.12,0.06,0.00,-1.37,16.50,-48.19
CardboardTest,76526,2025-04-11 16:23:45.307,-0.02,-0.07,0.00,0.00,0.00,-0.06,-1.37,16.87,-49.00
CardboardTest,76637,2025-04-11 16:23:45.424,-0.06,-0.07,0.02,0.00,0.00,-0.06,-1.69,16.87,-48.19
CardboardTest,76745,2025-04-11 16:23:45.519,-0.08,-0.30,-0.01,0.06,-0.25,-0.12,-2.06,16.87,-48.19
CardboardTest,76852,2025-04-11 16:23:45.642,-0.07,-1.47,0.27,-7.81,-15.44,-58.13,-1.37,17.19,-49.38
CardboardTest,76960,2025-04-11 16:23:45.748,0.32,-0.30,0.06,-2.25,-19.44,-73.62,-3.56,16.87,-47.75
CardboardTest,77068,2025-04-11 16:23:45.853,0.01,0.56,-0.20,-4.00,-21.75,-87.37,-7.19,15.38,-47.50
CardboardTest,77175,2025-04-11 16:23:45.953,-0.43,0.86,-0.31,-2.44,-14.38,-63.06,-11.38,12.38,-46.25
CardboardTest,77283,2025-04-11 16:23:46.067,0.07,-0.27,0.06,-2.38,2.63,1.69,-13.69,10.75,-46.69
CardboardTest,77392,2025-04-11 16:23:46.178,0.64,0.15,0.14,0.56,3.00,26.94,-13.75,11.19,-45.88
CardboardTest,77502,2025-04-11 16:23:46.275,0.13,-0.77,0.32,-0.50,8.56,47.38,-13.75,12.00,-46.25
CardboardTest,77612,2025-04-11 16:23:46.392,0.06,-1.06,0.28,3.50,11.94,54.31,-12.00,12.25,-46.25
