Participant,Date_Time,Timestamp ,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
CardboardX,Initializing BNO055...,2025-04-16 12:01:00.538
CardboardX,BNO055 Initialized Successfully!,2025-04-16 12:01:00.538
CardboardX,Logging started...,2025-04-16 12:01:00.542
CardboardX,30271,2025-04-16 12:01:00.545,0.03,-0.08,-0.05,0.06,0.06,-0.06,0.37,13.19,-39.88
CardboardX,30377,2025-04-16 12:01:00.545,0.04,-0.08,-0.06,0.06,0.12,0.00,-0.75,13.19,-39.50
CardboardX,30487,2025-04-16 12:01:00.545,0.04,-0.08,-0.03,0.06,-0.12,-0.06,-0.75,13.50,-39.88
CardboardX,30594,2025-04-16 12:01:00.552,0.04,-0.12,-0.06,0.12,-0.06,-0.06,-1.75,13.19,-39.50
CardboardX,30701,2025-04-16 12:01:00.552,0.04,-0.09,-0.06,0.00,0.00,0.00,-0.37,12.75,-39.88
CardboardX,30810,2025-04-16 12:01:00.552,0.02,-0.10,-0.05,-0.06,-0.12,0.06,-0.37,13.19,-39.88
CardboardX,30918,2025-04-16 12:01:00.552,0.05,-0.11,-0.06,-0.06,0.06,0.12,-1.06,13.56,-37.88
CardboardX,31029,2025-04-16 12:01:00.562,0.04,-0.11,-0.07,0.00,0.25,-0.12,-0.37,13.19,-38.69
CardboardX,31138,2025-04-16 12:01:00.562,0.05,-0.09,-0.07,-0.06,-0.12,0.06,0.00,12.75,-40.19
CardboardX,31245,2025-04-16 12:01:00.600,0.03,-0.09,-0.06,0.06,-0.12,0.00,-0.75,13.19,-40.19
CardboardX,31352,2025-04-16 12:01:00.705,0.03,-0.08,-0.05,0.00,0.00,0.06,-0.75,13.56,-39.50
CardboardX,31462,2025-04-16 12:01:00.819,0.04,-0.10,-0.04,-0.12,-0.06,0.06,-0.37,12.75,-38.69
CardboardX,31571,2025-04-16 12:01:00.914,0.01,-0.08,-0.07,0.12,0.31,0.19,-0.37,13.19,-39.50
CardboardX,31681,2025-04-16 12:01:01.036,0.02,-0.11,-0.05,-0.31,0.06,0.00,-0.37,12.75,-38.69
CardboardX,31790,2025-04-16 12:01:01.143,0.06,-0.09,-0.03,0.75,0.88,0.50,-0.37,13.56,-39.88
CardboardX,31897,2025-04-16 12:01:01.254,0.01,-0.17,-0.02,-0.25,-0.06,0.31,-1.06,13.19,-38.25
CardboardX,32004,2025-04-16 12:01:01.359,0.00,-0.10,-0.05,-0.88,1.56,1.75,0.00,13.56,-39.88
CardboardX,32111,2025-04-16 12:01:01.465,0.04,-0.10,-0.05,-3.06,1.50,3.19,-0.75,13.19,-37.88
CardboardX,32218,2025-04-16 12:01:01.562,0.02,-0.13,-0.05,-6.31,0.00,3.88,0.37,14.19,-38.69
CardboardX,32327,2025-04-16 12:01:01.684,0.04,-0.12,-0.02,-1.44,1.88,5.88,0.37,13.88,-39.50
CardboardX,32437,2025-04-16 12:01:01.784,-0.01,-0.10,-0.11,-0.81,-1.25,-0.75,0.37,14.19,-40.19
CardboardX,32546,2025-04-16 12:01:01.900,0.04,-0.11,-0.05,0.00,-0.25,-0.12,0.37,13.56,-40.19
CardboardX,32654,2025-04-16 12:01:01.999,0.09,-0.20,-0.10,-5.81,-0.25,2.94,0.00,14.19,-39.88
CardboardX,32761,2025-04-16 12:01:02.112,0.04,-0.31,-0.01,-21.62,0.75,70.19,0.00,15.00,-39.00
CardboardX,32868,2025-04-16 12:01:02.210,0.34,-0.92,-0.48,-33.69,3.50,164.19,3.88,16.06,-37.06
CardboardX,32977,2025-04-16 12:01:02.331,0.32,-0.57,-0.14,11.06,24.19,155.63,9.00,14.00,-37.06
CardboardX,33086,2025-04-16 12:01:02.436,-0.11,0.65,0.06,0.12,9.69,75.00,14.69,10.38,-37.19
CardboardX,33193,2025-04-16 12:01:02.547,-0.12,0.08,-0.12,-2.13,0.19,-1.00,17.00,8.56,-36.50
CardboardX,33302,2025-04-16 12:01:02.645,-0.08,-0.29,-0.12,0.94,0.19,-0.31,18.25,9.25,-36.50
CardboardX,33410,2025-04-16 12:01:02.750,-0.05,-0.35,-0.01,0.00,0.06,0.12,17.75,8.25,-35.56
CardboardX,33516,2025-04-16 12:01:02.870,-0.04,-0.24,-0.03,0.19,-0.31,-0.12,17.37,8.69,-36.75
CardboardX,33625,2025-04-16 12:01:02.968,-0.06,-0.25,-0.04,-1.44,0.81,0.44,16.75,8.69,-35.25
CardboardX,33732,2025-04-16 12:01:03.086,0.11,-0.74,-0.03,-8.50,0.88,21.31,17.06,8.69,-36.88
CardboardX,33841,2025-04-16 12:01:03.194,0.02,-0.35,-0.02,-4.94,4.94,48.75,17.19,9.38,-36.56
CardboardX,33948,2025-04-16 12:01:03.302,-0.03,0.02,-0.25,-2.81,9.00,54.31,18.69,7.88,-36.06
CardboardX,34057,2025-04-16 12:01:03.411,-0.18,0.10,-0.10,-7.69,-0.69,23.44,19.87,5.69,-36.06
CardboardX,34164,2025-04-16 12:01:03.519,-0.13,-0.06,-0.11,-2.25,-1.19,2.25,21.00,5.00,-35.69
CardboardX,34271,2025-04-16 12:01:03.618,-0.05,-0.17,-0.03,-0.63,-0.31,0.00,21.00,4.25,-36.06
CardboardX,34379,2025-04-16 12:01:03.726,-0.06,-0.18,-0.05,0.06,0.25,0.19,20.56,4.69,-36.56
CardboardX,34488,2025-04-16 12:01:03.831,-0.05,-0.15,-0.05,-0.12,0.31,0.25,21.00,5.75,-36.06
CardboardX,34597,2025-04-16 12:01:03.948,0.00,-0.50,0.00,-5.06,0.63,10.25,20.25,5.50,-35.69
CardboardX,34706,2025-04-16 12:01:04.051,0.00,-0.40,-0.06,-3.81,3.94,37.44,21.25,5.06,-35.00
CardboardX,34812,2025-04-16 12:01:04.163,0.04,-0.07,-0.26,-2.44,3.88,40.88,21.25,4.00,-35.38
CardboardX,34920,2025-04-16 12:01:04.266,0.00,0.34,-0.11,-4.94,1.44,25.50,21.69,2.50,-35.38
CardboardX,35027,2025-04-16 12:01:04.376,0.02,0.09,-0.25,0.37,-2.81,2.13,21.75,1.37,-36.06
CardboardX,35134,2025-04-16 12:01:04.487,-0.04,-0.18,-0.07,-2.00,0.19,0.50,21.75,2.06,-36.06
CardboardX,35243,2025-04-16 12:01:04.594,-0.04,-0.15,-0.05,-1.63,-0.25,0.25,22.19,1.37,-34.56
CardboardX,35352,2025-04-16 12:01:04.699,0.00,-0.63,-0.05,-7.31,-0.06,3.50,22.87,2.88,-34.56
CardboardX,35462,2025-04-16 12:01:04.813,-0.08,-0.20,-0.14,-9.06,-10.06,22.25,22.50,2.06,-35.00
CardboardX,35568,2025-04-16 12:01:04.908,0.22,-0.40,-0.03,-0.81,-10.25,-17.44,21.69,2.88,-36.06
CardboardX,35676,2025-04-16 12:01:05.023,0.07,0.06,-0.11,32.44,13.81,-45.44,20.25,2.88,-36.56
CardboardX,35783,2025-04-16 12:01:05.135,-0.96,0.93,-0.24,16.25,21.37,17.44,21.69,2.50,-35.69
CardboardX,35892,2025-04-16 12:01:05.234,0.31,0.31,-0.14,-1.56,-10.44,9.19,22.50,1.75,-35.00
CardboardX,35999,2025-04-16 12:01:05.349,-0.21,-0.02,-0.13,0.75,2.06,0.12,22.06,1.75,-35.00
CardboardX,36108,2025-04-16 12:01:05.460,0.00,-0.03,-0.06,-0.69,1.06,-0.69,22.75,1.75,-35.38
CardboardX,36217,2025-04-16 12:01:05.568,-0.06,0.01,-0.10,-0.94,-1.94,-1.37,22.75,1.75,-35.38
CardboardX,36325,2025-04-16 12:01:05.664,-0.04,0.03,-0.09,-0.44,-1.31,-0.37,22.50,1.75,-36.06
CardboardX,36431,2025-04-16 12:01:05.776,-0.01,0.02,-0.06,-0.44,-0.44,0.56,22.50,1.75,-35.38
CardboardX,36539,2025-04-16 12:01:05.888,-0.12,-0.21,0.08,-7.44,1.12,11.38,22.50,2.06,-35.38
CardboardX,36645,2025-04-16 12:01:05.992,-0.02,-0.17,-0.07,-0.81,1.56,19.87,23.19,1.00,-35.38
CardboardX,36753,2025-04-16 12:01:06.099,0.04,0.13,-0.20,2.00,1.31,15.25,22.06,0.56,-35.38
CardboardX,36861,2025-04-16 12:01:06.207,-0.01,0.09,-0.24,1.44,0.56,2.25,23.19,-0.75,-34.19
CardboardX,36971,2025-04-16 12:01:06.313,-0.01,0.20,-0.18,-3.50,-1.75,-8.31,23.19,-0.50,-35.38
CardboardX,37079,2025-04-16 12:01:06.425,-0.04,0.15,-0.13,-1.19,1.94,2.69,23.56,-0.06,-35.69
CardboardX,37185,2025-04-16 12:01:06.524,-0.01,-0.02,-0.06,-1.37,-0.06,0.50,23.19,0.25,-35.38
CardboardX,37293,2025-04-16 12:01:06.641,0.00,-0.38,-0.10,3.63,-0.19,5.94,23.19,-0.06,-34.56
CardboardX,37400,2025-04-16 12:01:06.748,-0.04,0.28,0.04,-3.00,-3.50,-2.19,22.75,1.00,-34.56
CardboardX,37507,2025-04-16 12:01:06.844,-0.07,0.07,-0.19,-5.56,-2.31,4.00,22.06,-0.06,-35.00
CardboardX,37616,2025-04-16 12:01:06.964,-0.04,0.04,-0.07,-3.19,-4.00,3.81,22.50,0.56,-35.69
CardboardX,37726,2025-04-16 12:01:07.076,-0.09,-0.06,-0.10,-2.88,-1.12,8.19,22.75,1.00,-36.06
CardboardX,37832,2025-04-16 12:01:07.180,-0.04,0.07,0.01,0.19,-0.69,10.38,21.69,1.37,-35.00
CardboardX,37940,2025-04-16 12:01:07.291,0.00,0.03,-0.22,6.06,-1.50,-7.00,23.19,0.25,-36.56
CardboardX,38046,2025-04-16 12:01:07.397,0.04,0.27,0.02,4.56,2.81,-16.50,22.75,1.00,-35.38
CardboardX,38155,2025-04-16 12:01:07.495,-0.20,0.13,-0.23,7.44,5.56,-3.06,23.19,1.00,-35.00
CardboardX,38261,2025-04-16 12:01:07.615,-0.05,0.20,0.05,-1.56,-0.37,2.38,24.25,1.00,-33.75
CardboardX,38370,2025-04-16 12:01:07.709,0.02,0.15,-0.15,0.12,0.56,4.94,23.56,0.25,-34.56
CardboardX,38479,2025-04-16 12:01:07.822,-0.05,-0.06,-0.13,-2.13,-0.81,2.63,22.75,-0.06,-33.75
CardboardX,38587,2025-04-16 12:01:07.927,-0.02,-0.05,-0.02,-0.50,-1.94,1.12,23.19,0.56,-34.19
CardboardX,38693,2025-04-16 12:01:08.033,-0.04,-0.16,-0.06,-0.94,-3.50,4.31,23.56,0.25,-35.00
CardboardX,38801,2025-04-16 12:01:08.145,0.04,-0.56,-0.14,-8.00,-1.69,-0.63,23.19,0.56,-36.56
CardboardX,38912,2025-04-16 12:01:08.258,-0.11,-0.03,0.14,11.13,14.63,-5.19,24.00,0.56,-34.56
CardboardX,39021,2025-04-16 12:01:08.364,-0.08,0.31,-0.58,0.19,-3.44,34.81,24.00,0.25,-34.56
CardboardX,39131,2025-04-16 12:01:08.479,0.10,0.40,0.16,-5.75,-17.25,1.00,25.00,-1.50,-35.38
CardboardX,39238,2025-04-16 12:01:08.588,0.13,0.00,-0.07,-0.75,0.50,-18.87,23.56,-1.06,-34.56
CardboardX,39345,2025-04-16 12:01:08.695,-0.32,0.15,-0.10,-1.75,23.69,-19.62,23.56,-0.37,-35.00
CardboardX,39452,2025-04-16 12:01:08.802,0.14,0.33,0.20,-7.56,-12.25,25.62,24.00,-0.37,-34.56
CardboardX,39559,2025-04-16 12:01:08.901,-0.04,0.17,-0.11,-2.13,-0.31,-15.63,24.25,0.69,-34.19
CardboardX,39667,2025-04-16 12:01:09.012,-0.13,0.23,-0.09,1.69,0.63,8.31,24.25,-0.69,-34.56
CardboardX,39777,2025-04-16 12:01:09.125,-0.04,-0.02,-0.13,-0.63,0.25,-0.37,23.56,0.00,-35.00
CardboardX,39886,2025-04-16 12:01:09.230,-0.03,-0.08,-0.09,-0.94,-0.88,-0.69,23.19,0.00,-34.19
CardboardX,39993,2025-04-16 12:01:09.334,-0.04,-0.07,0.01,0.81,-0.06,-2.38,23.56,0.37,-34.19
CardboardX,40100,2025-04-16 12:01:09.447,0.11,-0.37,-0.08,0.12,3.44,-4.56,25.37,0.69,-34.56
CardboardX,40207,2025-04-16 12:01:09.545,-0.06,-0.05,-0.11,-2.44,3.13,7.50,25.00,0.37,-34.56
CardboardX,40314,2025-04-16 12:01:09.649,0.10,0.18,0.04,3.13,-10.94,-4.25,23.56,-0.37,-34.19
CardboardX,40422,2025-04-16 12:01:09.765,0.15,0.12,-0.22,10.88,16.25,-37.06,24.25,0.00,-34.56
CardboardX,40531,2025-04-16 12:01:09.868,0.06,0.46,0.20,-9.00,-10.31,19.56,25.37,1.06,-35.00
CardboardX,40641,2025-04-16 12:01:09.980,-0.06,0.10,-0.14,3.00,-0.75,1.19,25.75,-0.37,-34.19
CardboardX,40748,2025-04-16 12:01:10.096,0.00,0.01,-0.04,-0.31,-0.37,0.00,24.25,-0.06,-33.38
CardboardX,40855,2025-04-16 12:01:10.197,-0.05,0.00,-0.07,-0.50,-0.06,-0.31,24.25,0.25,-35.00
CardboardX,40964,2025-04-16 12:01:10.310,-0.05,0.01,-0.06,0.50,0.00,0.06,25.00,0.25,-34.56
CardboardX,41071,2025-04-16 12:01:10.414,-0.04,-0.01,-0.04,-1.31,-0.37,2.19,24.69,0.56,-33.38
CardboardX,41179,2025-04-16 12:01:10.525,-0.02,-0.03,-0.08,1.88,0.88,11.00,24.69,0.56,-34.56
CardboardX,41286,2025-04-16 12:01:10.630,0.08,-0.16,-0.15,-3.94,-3.56,6.00,25.00,-0.06,-34.56
CardboardX,41396,2025-04-16 12:01:10.744,-0.06,0.26,-0.09,2.56,0.44,-4.94,24.69,-1.19,-34.19
CardboardX,41503,2025-04-16 12:01:10.846,0.01,-0.37,-0.11,0.56,-3.31,-14.00,25.00,-0.75,-34.56
CardboardX,41610,2025-04-16 12:01:10.950,-0.14,0.09,0.01,4.00,7.44,-7.63,25.37,0.37,-33.75
CardboardX,41717,2025-04-16 12:01:11.063,-0.01,0.32,-0.10,3.31,0.37,26.25,25.37,0.69,-34.19
CardboardX,41825,2025-04-16 12:01:11.159,-0.12,0.09,-0.17,3.75,0.94,6.25,25.37,-0.75,-34.56
CardboardX,41931,2025-04-16 12:01:11.279,-0.07,0.25,-0.09,-1.69,-2.88,-1.88,25.00,-1.19,-33.75
CardboardX,42040,2025-04-16 12:01:11.385,-0.07,0.00,-0.08,1.37,-1.25,-0.56,25.37,-1.19,-35.38
CardboardX,42149,2025-04-16 12:01:11.497,-0.03,0.03,-0.18,1.12,-1.50,-1.50,25.00,-1.75,-33.38
CardboardX,42257,2025-04-16 12:01:11.597,-0.04,-0.09,-0.07,-0.19,1.19,1.00,26.06,-1.50,-33.75
CardboardX,42363,2025-04-16 12:01:11.698,-0.05,0.05,-0.11,0.37,0.19,2.94,25.00,-1.19,-33.75
CardboardX,42472,2025-04-16 12:01:11.816,-0.05,0.01,-0.11,-0.88,0.06,-0.19,25.00,-1.50,-34.19
CardboardX,42580,2025-04-16 12:01:11.926,-0.06,-0.16,-0.05,-1.56,-0.56,3.31,25.37,-1.88,-33.75
CardboardX,42688,2025-04-16 12:01:12.030,0.03,-0.46,-0.06,-0.37,-5.19,-1.06,25.75,-1.19,-35.00
CardboardX,42796,2025-04-16 12:01:12.143,-0.09,0.20,-0.05,-0.25,0.37,-6.00,25.00,-1.19,-34.19
CardboardX,42904,2025-04-16 12:01:12.248,0.01,0.08,-0.06,-5.69,0.50,10.56,25.37,-1.50,-34.56
CardboardX,43012,2025-04-16 12:01:12.357,-0.13,0.46,-0.16,1.94,2.94,3.19,24.69,-0.75,-33.75
CardboardX,43118,2025-04-16 12:01:12.464,0.00,0.20,-0.09,-3.19,-5.31,-2.88,25.00,-1.19,-35.00
CardboardX,43227,2025-04-16 12:01:12.563,-0.03,-0.04,-0.06,-0.94,0.19,0.56,25.37,-1.19,-34.19
CardboardX,43335,2025-04-16 12:01:12.677,-0.04,-0.19,-0.08,-1.50,0.00,-1.88,25.37,-1.19,-35.69
CardboardX,43445,2025-04-16 12:01:12.792,0.03,-0.11,-0.06,0.94,-0.19,-10.19,25.00,-0.50,-35.38
CardboardX,43553,2025-04-16 12:01:12.897,-0.11,-0.19,-0.05,1.12,6.38,-3.25,25.37,-0.50,-34.56
CardboardX,43660,2025-04-16 12:01:13.008,0.05,0.01,0.01,-8.88,-7.31,18.81,25.75,0.25,-34.56
CardboardX,43767,2025-04-16 12:01:13.114,0.05,-0.06,-0.23,3.00,2.81,-13.00,25.00,-0.75,-34.19
CardboardX,43875,2025-04-16 12:01:13.210,-0.03,0.20,-0.16,-4.50,-8.25,10.88,24.69,-0.75,-34.19
CardboardX,43981,2025-04-16 12:01:13.314,0.06,-0.04,-0.10,-1.75,-7.13,-13.50,25.37,-0.75,-34.19
CardboardX,44090,2025-04-16 12:01:13.428,0.00,-0.13,0.14,-1.37,10.94,-33.94,24.25,0.25,-35.69
CardboardX,44200,2025-04-16 12:01:13.541,-0.33,0.17,-0.02,-10.38,-3.94,29.19,25.75,1.00,-34.56
CardboardX,44310,2025-04-16 12:01:13.647,0.21,0.03,0.03,2.19,5.06,2.50,25.00,-0.06,-34.56
CardboardX,44417,2025-04-16 12:01:13.760,-0.21,0.44,-0.04,-0.12,-1.56,6.88,26.06,-0.50,-35.38
CardboardX,44524,2025-04-16 12:01:13.856,-0.01,0.18,-0.16,-2.00,0.94,-8.88,26.00,-0.50,-33.38
CardboardX,44631,2025-04-16 12:01:13.974,-0.03,-0.05,0.00,-3.44,-1.50,0.50,25.00,0.25,-33.00
CardboardX,44738,2025-04-16 12:01:14.080,-0.10,-0.09,-0.06,-0.75,0.75,-1.31,25.75,-0.75,-34.56
CardboardX,44846,2025-04-16 12:01:14.182,0.00,-0.14,0.00,-0.56,-1.94,-1.94,26.06,0.25,-33.75
CardboardX,44955,2025-04-16 12:01:14.299,-0.05,-0.06,-0.11,-0.12,6.44,-5.31,25.37,-0.06,-34.56
CardboardX,45065,2025-04-16 12:01:14.410,0.05,-0.05,-0.12,-3.31,-2.63,-1.88,25.75,-0.06,-34.56
CardboardX,45171,2025-04-16 12:01:14.514,-0.06,-0.27,-0.07,-2.38,-1.12,1.12,26.06,-0.06,-35.38
CardboardX,45279,2025-04-16 12:01:14.619,0.02,-0.29,-0.13,-1.12,-1.19,3.13,26.87,1.00,-34.56
CardboardX,45386,2025-04-16 12:01:14.725,0.01,0.00,-0.16,5.88,3.63,-10.19,25.69,0.25,-34.56
CardboardX,45494,2025-04-16 12:01:14.830,-0.02,-0.17,-0.07,-5.06,-6.00,3.13,25.69,0.56,-34.19
CardboardX,45601,2025-04-16 12:01:14.942,-0.07,-0.35,-0.10,-4.50,1.50,-1.50,26.75,0.56,-34.56
CardboardX,45709,2025-04-16 12:01:15.048,0.04,-0.30,-0.23,1.50,-3.75,6.81,26.00,1.00,-35.00
CardboardX,45818,2025-04-16 12:01:15.157,0.08,0.32,0.07,5.44,-2.50,-9.50,26.37,0.25,-34.56
CardboardX,45926,2025-04-16 12:01:15.270,-0.30,0.59,-0.17,13.56,11.56,-10.88,25.69,0.56,-35.00
CardboardX,46033,2025-04-16 12:01:15.367,0.13,0.43,0.02,-0.75,0.94,4.13,26.37,0.25,-33.75
CardboardX,46141,2025-04-16 12:01:15.484,0.00,-0.07,-0.03,-4.56,-2.69,1.63,26.00,-0.06,-34.56
CardboardX,46248,2025-04-16 12:01:15.594,-0.05,-0.04,-0.11,-1.44,0.31,6.38,26.00,-0.06,-34.56
CardboardX,46356,2025-04-16 12:01:15.701,-0.10,-0.03,-0.15,1.69,-2.13,6.69,25.69,-0.06,-34.19
CardboardX,46464,2025-04-16 12:01:15.811,-0.01,-0.01,-0.03,-1.37,-5.25,1.44,26.75,-0.06,-35.00
CardboardX,46573,2025-04-16 12:01:15.917,-0.10,-0.14,-0.10,3.94,-2.31,-11.13,24.87,-0.06,-34.56
CardboardX,46681,2025-04-16 12:01:16.024,-0.19,0.19,-0.16,8.50,6.69,-3.69,25.25,-0.50,-35.69
CardboardX,46787,2025-04-16 12:01:16.130,0.15,0.25,-0.07,-0.94,-2.00,4.88,24.56,-0.75,-35.00
CardboardX,46895,2025-04-16 12:01:16.240,-0.16,0.00,-0.16,-1.37,4.00,-3.06,26.00,-0.75,-35.38
CardboardX,47004,2025-04-16 12:01:16.339,0.01,-0.40,-0.02,-2.81,0.94,0.56,26.00,-0.50,-33.75
CardboardX,47113,2025-04-16 12:01:16.458,0.00,-0.22,-0.15,-5.00,-5.31,10.50,26.37,-0.50,-33.00
CardboardX,47220,2025-04-16 12:01:16.564,-0.07,-0.04,-0.12,-1.00,-0.63,0.00,26.75,-0.75,-35.69
CardboardX,47329,2025-04-16 12:01:16.659,0.01,0.35,-0.01,4.13,3.63,-0.19,26.00,-0.75,-35.00
CardboardX,47435,2025-04-16 12:01:16.775,-0.01,0.19,-0.22,1.75,-0.81,3.31,26.37,-0.50,-34.19
CardboardX,47543,2025-04-16 12:01:16.882,-0.03,-0.04,-0.05,-2.44,-0.50,-1.25,26.00,-0.75,-34.19
CardboardX,47649,2025-04-16 12:01:16.994,0.05,-0.06,-0.31,-2.13,0.31,0.56,26.75,-1.19,-33.38
CardboardX,47759,2025-04-16 12:01:17.094,-0.01,-0.33,-0.12,-3.00,-0.25,0.94,26.37,-1.50,-35.38
CardboardX,47868,2025-04-16 12:01:17.208,0.00,-0.07,-0.18,-0.50,-0.69,6.56,25.69,-1.19,-33.38
CardboardX,47977,2025-04-16 12:01:17.318,0.01,0.01,-0.11,1.81,-2.94,0.12,26.00,-0.75,-35.38
CardboardX,48084,2025-04-16 12:01:17.426,0.00,0.02,-0.12,5.13,-1.81,-3.25,26.00,-1.19,-34.56
CardboardX,48191,2025-04-16 12:01:17.530,0.05,-0.20,-0.03,-0.94,-1.63,-2.31,26.37,-1.19,-34.56
CardboardX,48299,2025-04-16 12:01:17.640,-0.12,-0.09,-0.20,-1.88,8.50,-7.63,25.69,-1.19,-35.69
CardboardX,48405,2025-04-16 12:01:17.741,0.17,0.25,0.00,-8.94,-9.44,16.31,26.75,-1.50,-34.56
CardboardX,48514,2025-04-16 12:01:17.857,0.02,0.25,-0.07,0.25,4.25,-4.69,26.37,-0.75,-34.19
CardboardX,48623,2025-04-16 12:01:17.965,0.00,-0.05,-0.15,-1.50,-3.38,-1.12,25.69,-0.75,-34.19
CardboardX,48733,2025-04-16 12:01:18.065,-0.03,-0.19,-0.13,-1.88,1.06,0.12,26.37,-1.19,-34.19
CardboardX,48839,2025-04-16 12:01:18.174,0.01,0.11,-0.18,2.19,-1.50,-4.94,26.37,-1.19,-34.56
CardboardX,48947,2025-04-16 12:01:18.276,0.01,-0.09,-0.12,2.88,2.56,0.94,26.00,-0.75,-34.56
CardboardX,49053,2025-04-16 12:01:18.394,-0.05,-0.04,-0.07,-1.37,-2.00,-1.31,25.69,-0.50,-35.38
CardboardX,49161,2025-04-16 12:01:18.497,-0.03,-0.07,-0.11,-0.69,-4.81,-6.13,26.00,-1.19,-35.00
CardboardX,49268,2025-04-16 12:01:18.609,0.00,0.01,-0.10,-1.44,-0.81,0.31,26.37,-1.19,-35.00
CardboardX,49378,2025-04-16 12:01:18.719,-0.06,-0.01,-0.09,-0.25,1.81,0.44,25.69,-0.06,-35.00
CardboardX,49488,2025-04-16 12:01:18.829,-0.03,-0.39,-0.15,-8.75,2.38,1.88,25.69,-0.75,-35.00
CardboardX,49595,2025-04-16 12:01:18.926,-0.10,-0.20,0.04,2.75,3.31,-6.13,25.69,-0.50,-34.56
CardboardX,49702,2025-04-16 12:01:19.044,0.13,0.63,-0.16,8.38,-3.25,1.37,25.69,0.25,-33.75
CardboardX,49810,2025-04-16 12:01:19.148,0.05,0.42,0.03,-7.63,-1.69,-7.88,25.69,-0.06,-34.56
CardboardX,49917,2025-04-16 12:01:19.259,-0.09,0.06,-0.05,-0.06,-3.25,-2.81,25.69,-0.06,-34.19
CardboardX,50025,2025-04-16 12:01:19.366,-0.04,-0.16,-0.17,-0.31,4.69,0.75,26.37,-0.50,-34.56
CardboardX,50134,2025-04-16 12:01:19.474,-0.09,0.02,-0.11,-0.88,-3.25,11.88,26.00,0.56,-35.00
CardboardX,50243,2025-04-16 12:01:19.583,0.08,-0.32,-0.12,1.81,-0.94,-1.06,26.00,0.25,-35.00
CardboardX,50350,2025-04-16 12:01:19.690,-0.26,0.26,-0.17,3.75,10.81,-4.00,26.00,-0.75,-36.06
CardboardX,50457,2025-04-16 12:01:19.790,0.03,0.16,0.09,-3.88,-12.13,18.25,27.19,-0.75,-33.75
CardboardX,50564,2025-04-16 12:01:19.903,0.00,0.02,-0.10,2.56,-3.81,-29.75,26.37,-1.50,-33.75
CardboardX,50674,2025-04-16 12:01:20.017,-0.32,0.33,-0.10,0.19,16.31,-12.00,25.69,-0.50,-35.00
CardboardX,50785,2025-04-16 12:01:20.123,0.12,0.23,-0.07,-2.88,-3.69,13.63,27.19,0.25,-33.38
CardboardX,50893,2025-04-16 12:01:20.226,-0.15,0.09,-0.10,0.12,2.38,1.00,27.19,-1.19,-33.38
CardboardX,51000,2025-04-16 12:01:20.332,0.00,-0.29,-0.20,-1.00,1.81,-4.75,26.75,-0.50,-35.00
CardboardX,51107,2025-04-16 12:01:20.447,-0.05,0.40,-0.06,4.50,0.06,10.00,27.19,-0.50,-34.19
CardboardX,51217,2025-04-16 12:01:20.557,-0.05,-0.05,-0.05,-0.44,-1.00,-0.56,26.37,-1.19,-34.56
CardboardX,51324,2025-04-16 12:01:20.665,-0.02,0.05,-0.09,2.81,-0.31,0.00,26.75,-0.50,-35.00
CardboardX,51431,2025-04-16 12:01:20.758,-0.04,0.05,-0.10,0.50,-0.44,-0.25,26.37,-0.75,-33.00
CardboardX,51540,2025-04-16 12:01:20.874,-0.05,-0.04,-0.04,1.06,-1.81,-2.00,27.50,-0.50,-35.00
