Participant,Date_Time,Timestamp ,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
CardboardY,Initializing BNO055...,2025-04-16 11:59:31.496
CardboardY,BNO055 Initialized Successfully!,2025-04-16 11:59:31.499
CardboardY,Logging started...,2025-04-16 11:59:31.499
CardboardY,62984,2025-04-16 11:59:31.502,0.05,-0.04,-0.43,-0.12,0.12,-0.06,3.69,21.37,-43.06
CardboardY,63091,2025-04-16 11:59:31.505,0.03,-0.02,-0.43,0.12,0.25,0.19,5.19,21.37,-43.50
CardboardY,63199,2025-04-16 11:59:31.505,0.05,-0.04,-0.44,0.00,0.19,-0.12,3.69,21.37,-41.56
CardboardY,63308,2025-04-16 11:59:31.510,0.02,-0.04,-0.45,-0.06,-0.31,0.06,3.69,21.37,-42.25
CardboardY,63418,2025-04-16 11:59:31.523,0.04,-0.02,-0.45,0.12,0.06,-0.06,3.38,22.06,-42.75
CardboardY,63527,2025-04-16 11:59:31.523,0.04,-0.04,-0.45,-0.12,0.00,0.06,3.69,22.06,-43.06
CardboardY,63635,2025-04-16 11:59:31.523,0.06,-0.05,-0.43,-0.06,0.00,0.06,4.06,22.06,-42.75
CardboardY,63742,2025-04-16 11:59:31.523,0.04,-0.04,-0.45,0.00,0.00,0.06,4.06,21.75,-42.75
CardboardY,63851,2025-04-16 11:59:31.523,0.04,-0.03,-0.45,-0.06,-0.31,0.06,4.75,21.75,-41.88
CardboardY,63961,2025-04-16 11:59:31.530,0.05,-0.03,-0.43,-0.06,0.06,0.00,3.69,22.75,-42.75
CardboardY,64071,2025-04-16 11:59:31.616,0.03,-0.04,-0.42,0.06,0.12,-0.06,4.06,21.75,-43.06
CardboardY,64180,2025-04-16 11:59:31.723,0.03,-0.02,-0.44,0.06,-0.25,0.00,3.38,22.06,-42.25
CardboardY,64286,2025-04-16 11:59:31.832,0.05,-0.03,-0.45,0.06,-0.25,0.00,4.38,21.75,-43.50
CardboardY,64395,2025-04-16 11:59:31.938,0.05,-0.03,-0.45,-0.12,0.00,0.12,4.06,21.37,-42.25
CardboardY,64504,2025-04-16 11:59:32.048,0.04,-0.06,-0.44,0.00,0.06,0.00,4.75,21.75,-42.25
CardboardY,64614,2025-04-16 11:59:32.157,0.04,-0.04,-0.46,0.00,-0.12,0.00,3.69,22.06,-42.75
CardboardY,64723,2025-04-16 11:59:32.263,0.02,-0.03,-0.44,-0.19,0.00,-0.06,3.69,21.37,-43.50
CardboardY,64833,2025-04-16 11:59:32.382,0.05,-0.04,-0.45,-0.06,-0.12,-0.06,4.38,22.37,-43.50
CardboardY,64940,2025-04-16 11:59:32.480,0.05,-0.05,-0.43,0.06,0.12,-0.06,4.06,21.75,-43.50
CardboardY,65048,2025-04-16 11:59:32.595,0.03,-0.04,-0.43,0.00,0.25,0.00,4.06,22.06,-41.88
CardboardY,65158,2025-04-16 11:59:32.698,0.03,-0.03,-0.42,0.12,0.19,-0.19,3.69,21.75,-42.25
CardboardY,65268,2025-04-16 11:59:32.816,0.04,-0.03,-0.45,0.06,-0.19,0.00,3.69,21.75,-41.19
CardboardY,65378,2025-04-16 11:59:32.916,0.05,-0.05,-0.43,-0.12,-0.25,-0.06,4.06,21.75,-42.25
