Participant,Date_Time,Timestamp ,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
CardboardZ,Initializing BNO055...,2025-04-16 12:02:35.232
CardboardZ,BNO055 Initialized Successfully!,2025-04-16 12:02:35.232
CardboardZ,Logging started...,2025-04-16 12:02:35.232
CardboardZ,51874,2025-04-16 12:02:35.238,-0.12,0.06,-0.04,0.00,0.06,0.00,4.50,13.50,-38.19
CardboardZ,51983,2025-04-16 12:02:35.243,-0.11,0.05,-0.04,0.00,0.00,0.00,4.50,13.06,-38.50
CardboardZ,52089,2025-04-16 12:02:35.244,-0.08,0.05,-0.06,0.00,-0.12,-0.06,5.56,13.50,-38.19
CardboardZ,52199,2025-04-16 12:02:35.248,-0.10,0.06,-0.03,-0.06,-0.06,0.00,5.25,13.88,-38.50
CardboardZ,52308,2025-04-16 12:02:35.249,-0.11,0.03,-0.07,-0.12,0.06,0.12,5.25,13.88,-39.69
CardboardZ,52415,2025-04-16 12:02:35.249,-0.12,0.04,-0.05,0.00,-0.06,0.00,5.25,14.19,-38.88
CardboardZ,52523,2025-04-16 12:02:35.249,-0.08,0.05,-0.05,0.06,-0.06,0.06,5.56,13.88,-40.06
CardboardZ,52631,2025-04-16 12:02:35.253,-0.09,0.05,-0.03,0.06,0.00,-0.06,5.25,14.19,-38.88
CardboardZ,52741,2025-04-16 12:02:35.255,-0.11,0.06,-0.04,0.06,-0.06,0.12,4.06,14.19,-39.25
CardboardZ,52851,2025-04-16 12:02:35.305,-0.11,0.05,-0.06,0.00,-0.06,0.06,4.88,13.50,-40.06
CardboardZ,52961,2025-04-16 12:02:35.402,-0.11,0.05,-0.05,-0.06,0.00,0.06,4.50,13.50,-38.88
CardboardZ,53067,2025-04-16 12:02:35.519,-0.11,0.03,-0.04,0.06,-0.12,-0.06,4.88,13.50,-38.88
CardboardZ,53175,2025-04-16 12:02:35.619,-0.11,0.05,-0.03,0.06,-0.12,0.00,4.88,13.88,-39.69
