Participant,Timestamp,Arduino_Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Euler_Heading,Euler_Roll,Euler_Pitch
bevRightArmTestFastSlow,2025-04-23 08:30:50.735,83684.0,0.22,-0.41,-0.23,5.06,2.69,-29.81,22.75,-24.25,-20.56,353.75,-25.81,-78.87
bevRightArmTestFastSlow,2025-04-23 08:30:50.739,83794.0,0.09,-0.55,-0.07,3.25,-10.5,-20.19,24.25,-22.19,-20.56,356.88,-28.31,-79.0
bevRightArmTestFastSlow,2025-04-23 08:30:50.857,83904.0,-0.06,-0.43,-0.1,6.56,-10.88,-16.25,24.25,-20.87,-21.06,359.94,-30.0,-78.5
bevRightArmTestFastSlow,2025-04-23 08:30:50.974,84015.0,-0.02,-0.61,0.01,11.13,-12.19,-2.63,25.69,-20.87,-21.06,2.31,-30.81,-78.69
bevRightArmTestFastSlow,2025-04-23 08:30:51.074,84125.0,-0.22,-0.58,0.34,15.38,-2.94,6.94,25.0,-20.69,-21.87,4.13,-30.87,-78.81
bevRightArmTestFastSlow,2025-04-23 08:30:51.190,84236.0,0.1,-1.23,0.59,6.44,-9.88,27.37,24.56,-21.0,-21.5,3.25,-29.31,-79.69
bevRightArmTestFastSlow,2025-04-23 08:30:51.296,84346.0,-0.37,-0.11,0.38,11.19,-12.69,42.06,21.75,-23.25,-21.06,0.88,-25.12,-79.69
bevRightArmTestFastSlow,2025-04-23 08:30:51.408,84456.0,-0.36,0.22,0.24,27.5,-0.06,32.19,20.25,-25.06,-20.56,358.19,-21.62,-82.69
bevRightArmTestFastSlow,2025-04-23 08:30:51.526,84566.0,-0.37,0.18,-0.25,11.25,3.63,24.5,18.75,-27.0,-19.75,355.56,-18.69,-84.56
bevRightArmTestFastSlow,2025-04-23 08:30:51.623,84677.0,-0.19,-0.02,0.24,9.63,25.31,11.88,18.5,-28.5,-19.0,352.31,-17.12,-86.56
bevRightArmTestFastSlow,2025-04-23 08:30:51.741,84788.0,0.45,-0.07,-0.36,-2.31,6.69,15.94,17.69,-29.06,-17.37,349.94,-15.69,-87.06
bevRightArmTestFastSlow,2025-04-23 08:30:51.858,84898.0,0.4,-0.07,-0.46,0.63,2.5,14.69,17.0,-29.75,-17.0,347.5,-13.88,-87.44
bevRightArmTestFastSlow,2025-04-23 08:30:51.963,85008.0,0.41,0.0,-0.33,6.13,1.44,9.13,16.19,-30.69,-17.37,345.94,-12.31,-88.37
bevRightArmTestFastSlow,2025-04-23 08:30:52.074,85117.0,0.32,0.11,-0.13,6.56,-0.94,7.19,16.19,-31.0,-17.0,344.94,-11.19,-89.37
bevRightArmTestFastSlow,2025-04-23 08:30:52.175,85229.0,0.16,0.05,-0.19,2.06,-0.69,1.5,15.5,-31.37,-15.25,344.69,-10.63,-89.75
bevRightArmTestFastSlow,2025-04-23 08:30:52.290,85340.0,0.02,-0.2,0.01,3.69,-1.81,-1.88,15.56,-31.75,-16.06,344.88,-10.69,-90.0
bevRightArmTestFastSlow,2025-04-23 08:30:52.407,85450.0,-0.01,-0.02,0.04,-2.0,-8.5,-0.37,15.56,-31.0,-16.56,345.56,-10.81,-90.0
bevRightArmTestFastSlow,2025-04-23 08:30:52.508,85560.0,-0.12,-0.14,-0.12,-2.94,-1.63,-7.44,15.56,-31.75,-17.0,346.69,-11.38,-89.5
