Participant,Timestamp,Arduino_Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Euler_Heading,Euler_Roll,Euler_Pitch
bevRightArmTestSlowFast,2025-04-23 08:25:02.412,74017.0,-0.73,0.13,0.72,-12.19,8.5,34.69,17.69,-29.56,-17.87,353.13,-15.19,-86.62
bevRightArmTestSlowFast,2025-04-23 08:25:02.429,74129.0,0.18,0.19,0.64,-17.81,18.19,20.06,16.06,-30.0,-17.87,348.69,-12.88,-85.94
bevRightArmTestSlowFast,2025-04-23 08:25:02.540,74240.0,0.21,0.28,0.0,-21.94,22.44,21.62,15.56,-29.87,-17.75,343.75,-10.69,-84.25
bevRightArmTestSlowFast,2025-04-23 08:25:02.651,74351.0,-0.02,0.3,-0.1,-13.5,25.44,12.81,15.88,-30.19,-19.56,339.31,-9.25,-82.81
bevRightArmTestSlowFast,2025-04-23 08:25:02.746,74461.0,-0.1,-0.08,-0.31,-14.13,12.88,0.56,15.5,-30.06,-18.37,336.75,-9.19,-82.0
bevRightArmTestSlowFast,2025-04-23 08:25:02.864,74570.0,-0.32,-0.24,-0.47,-4.44,11.38,-9.88,16.25,-29.25,-19.25,336.69,-10.19,-81.75
bevRightArmTestSlowFast,2025-04-23 08:25:02.979,74681.0,-1.11,-0.84,-0.57,-0.31,-1.0,-30.94,17.5,-29.25,-18.87,338.56,-12.75,-81.69
bevRightArmTestSlowFast,2025-04-23 08:25:03.080,74791.0,0.1,0.15,-1.23,25.31,-3.94,-32.19,18.87,-28.5,-19.25,342.88,-16.37,-82.75
bevRightArmTestSlowFast,2025-04-23 08:25:03.196,74903.0,0.12,-0.52,-0.51,34.31,-4.0,-16.31,21.06,-27.06,-18.06,346.63,-18.56,-85.56
bevRightArmTestSlowFast,2025-04-23 08:25:03.311,75013.0,0.86,0.29,0.11,33.81,-11.88,3.75,21.37,-28.19,-15.56,349.06,-19.06,-89.0
bevRightArmTestSlowFast,2025-04-23 08:25:03.414,75122.0,0.34,0.37,0.42,14.69,-16.44,20.69,19.56,-28.87,-15.56,349.19,-17.06,-90.69
bevRightArmTestSlowFast,2025-04-23 08:25:03.534,75234.0,-0.24,0.18,0.13,7.88,-22.37,20.31,18.56,-30.0,-15.19,349.13,-14.63,-91.19
bevRightArmTestSlowFast,2025-04-23 08:25:03.645,75344.0,-0.33,0.15,0.07,0.25,-14.0,9.94,16.69,-30.75,-14.69,349.63,-13.0,-90.87
bevRightArmTestSlowFast,2025-04-23 08:25:03.747,75455.0,0.02,0.02,0.06,-1.5,-8.13,3.25,15.06,-31.5,-15.5,350.19,-12.38,-90.5
bevRightArmTestSlowFast,2025-04-23 08:25:03.864,75565.0,0.02,0.11,-0.14,-1.12,-5.88,4.0,15.06,-31.25,-15.56,350.31,-12.0,-90.19
bevRightArmTestSlowFast,2025-04-23 08:25:03.964,75674.0,0.01,0.01,0.16,5.25,4.06,1.88,14.69,-31.5,-16.0,350.0,-11.69,-90.75
bevRightArmTestSlowFast,2025-04-23 08:25:04.080,75785.0,-0.07,-0.09,0.04,-0.5,-2.5,2.81,14.69,-31.5,-15.56,350.06,-11.31,-90.69
bevRightArmTestSlowFast,2025-04-23 08:25:04.196,75896.0,0.05,0.1,0.06,0.75,2.31,0.25,14.69,-30.75,-16.87,349.75,-11.25,-90.75
bevRightArmTestSlowFast,2025-04-23 08:25:04.297,76007.0,0.08,0.16,-0.17,4.38,2.19,4.13,13.19,-31.5,-16.0,349.19,-11.0,-91.12
bevRightArmTestSlowFast,2025-04-23 08:25:04.413,76116.0,-0.26,0.14,0.04,-0.19,2.44,2.81,12.88,-32.0,-17.19,348.56,-10.44,-91.37
bevRightArmTestSlowFast,2025-04-23 08:25:04.513,76226.0,-0.4,0.34,0.43,-13.69,-2.06,-11.75,12.5,-32.38,-14.75,348.94,-11.25,-90.44
bevRightArmTestSlowFast,2025-04-23 08:25:04.630,76338.0,0.35,0.01,-0.61,-5.75,13.5,-29.12,14.38,-31.25,-17.19,350.75,-13.88,-89.06
bevRightArmTestSlowFast,2025-04-23 08:25:04.748,76448.0,0.18,0.22,-0.5,-2.5,8.25,-22.37,15.88,-29.75,-16.87,351.63,-16.12,-89.5
bevRightArmTestSlowFast,2025-04-23 08:25:04.846,76559.0,0.33,0.03,-0.44,7.19,9.5,-18.12,18.06,-29.75,-15.56,352.69,-17.94,-90.5
bevRightArmTestSlowFast,2025-04-23 08:25:04.963,76668.0,0.33,-0.18,-0.35,17.12,-0.56,-4.63,18.75,-28.56,-16.37,353.31,-18.56,-92.56
bevRightArmTestSlowFast,2025-04-23 08:25:05.080,76779.0,-0.13,-0.28,-0.06,27.31,-1.44,9.81,19.87,-28.56,-14.0,353.63,-17.87,-95.12
bevRightArmTestSlowFast,2025-04-23 08:25:05.180,76890.0,-0.22,-0.42,0.76,33.94,0.94,22.56,18.06,-30.5,-13.5,353.19,-16.31,-97.87
bevRightArmTestSlowFast,2025-04-23 08:25:05.301,77000.0,-0.6,-0.58,1.31,27.19,9.69,39.25,17.69,-31.37,-11.06,351.0,-13.63,-100.37
bevRightArmTestSlowFast,2025-04-23 08:25:05.395,77111.0,-1.56,-0.56,1.34,-4.0,-2.88,31.44,14.38,-32.38,-8.88,348.06,-10.69,-99.94
bevRightArmTestSlowFast,2025-04-23 08:25:05.512,77220.0,-0.97,1.08,0.31,-15.0,4.38,8.06,12.19,-33.56,-9.69,346.13,-9.0,-98.25
bevRightArmTestSlowFast,2025-04-23 08:25:05.629,77331.0,-0.61,0.36,0.44,-16.5,11.5,-6.19,11.75,-34.0,-8.75,345.31,-9.06,-96.81
bevRightArmTestSlowFast,2025-04-23 08:25:05.731,77442.0,-0.02,-0.1,-0.07,-27.69,1.5,-13.38,13.19,-32.88,-11.25,345.69,-10.25,-94.12
bevRightArmTestSlowFast,2025-04-23 08:25:05.847,77552.0,0.48,0.34,-0.66,-34.06,2.44,-19.19,14.0,-32.19,-13.0,346.0,-11.94,-91.12
bevRightArmTestSlowFast,2025-04-23 08:25:05.945,77663.0,0.31,0.47,-0.8,-38.06,-3.81,-19.62,16.19,-30.69,-15.75,346.63,-13.25,-88.19
bevRightArmTestSlowFast,2025-04-23 08:25:06.064,77773.0,0.12,0.88,-0.75,-37.69,1.81,-30.62,17.37,-29.25,-18.19,348.06,-15.75,-84.62
bevRightArmTestSlowFast,2025-04-23 08:25:06.178,77883.0,0.73,0.56,-0.91,-34.31,8.5,-39.25,19.06,-27.87,-19.75,350.06,-19.31,-81.25
