Participant,Timestamp,Arduino_Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Euler_Heading,Euler_Roll,Euler_Pitch
fastSlow,2025-04-23 07:50:17.057,54966.0,0.08,0.17,-0.19,213.19,21.69,5.5
fastSlow,2025-04-23 07:50:17.057,55072.0,0.01,0.06,-0.01,213.38,23.25,5.06
fastSlow,2025-04-23 07:50:17.159,55177.0,0.4,-0.03,-0.22,213.06,24.19,5.25
fastSlow,2025-04-23 07:50:17.273,55284.0,-0.14,-0.09,0.18,212.75,23.87,5.75
fastSlow,2025-04-23 07:50:17.375,55389.0,0.04,0.11,-0.18,213.13,24.12,5.19
fastSlow,2025-04-23 07:50:17.474,55494.0,0.14,0.21,-0.23,213.19,23.81,5.0
fastSlow,2025-04-23 07:50:17.591,55599.0,0.6,-0.59,-0.13,213.81,21.56,4.81
fastSlow,2025-04-23 07:50:17.697,55703.0,1.27,-0.44,-0.46,215.81,19.19,1.63
fastSlow,2025-04-23 07:50:17.794,55809.0,1.85,-2.0,-1.52,221.81,15.0,3.19
fastSlow,2025-04-23 07:50:17.908,55915.0,-0.02,-1.47,-1.99,228.0,7.63,1.25
fastSlow,2025-04-23 07:50:18.008,56020.0,-0.92,-1.38,0.08,234.94,1.44,0.0
fastSlow,2025-04-23 07:50:18.108,56127.0,-2.01,-0.07,0.73,244.69,-2.31,-3.56
fastSlow,2025-04-23 07:50:18.225,56231.0,-3.1,1.53,-0.4,253.44,-3.38,-5.94
fastSlow,2025-04-23 07:50:18.330,56339.0,-1.75,0.81,0.92,255.94,-6.25,-2.0
fastSlow,2025-04-23 07:50:18.435,56443.0,-1.09,1.56,-0.35,254.94,-8.69,-5.94
fastSlow,2025-04-23 07:50:18.541,56549.0,-0.05,-0.16,-0.59,248.81,-10.31,-2.69
fastSlow,2025-04-23 07:50:18.645,56653.0,-1.42,-0.22,0.42,244.88,-10.69,-3.38
fastSlow,2025-04-23 07:50:18.742,56759.0,-0.27,-0.14,-0.95,244.81,-8.31,-4.69
fastSlow,2025-04-23 07:50:18.857,56863.0,-1.47,-0.6,-0.43,245.38,-6.44,-4.44
fastSlow,2025-04-23 07:50:18.959,56969.0,0.25,0.17,0.03,242.13,-4.06,-5.19
fastSlow,2025-04-23 07:50:19.058,57075.0,-1.27,-0.89,-0.42,241.69,-3.19,-4.75
fastSlow,2025-04-23 07:50:19.161,57181.0,-0.98,-0.64,0.15,241.88,-3.25,-4.38
fastSlow,2025-04-23 07:50:19.273,57286.0,-2.89,-1.33,-0.93,237.5,-3.94,-4.31
fastSlow,2025-04-23 07:50:19.375,57393.0,0.4,0.84,-1.9,225.56,-1.63,-6.13
fastSlow,2025-04-23 07:50:19.475,57498.0,0.07,1.64,1.18,219.5,1.37,-2.69
fastSlow,2025-04-23 07:50:19.591,57604.0,-0.54,-0.01,0.04,219.31,1.19,-2.56
fastSlow,2025-04-23 07:50:19.691,57709.0,-0.17,0.01,0.04,219.31,1.19,-2.56
fastSlow,2025-04-23 07:50:19.807,57815.0,-0.1,-0.01,0.02,219.25,1.12,-2.56
fastSlow,2025-04-23 07:50:19.911,57921.0,-0.1,-0.02,0.03,219.06,1.12,-2.56
fastSlow,2025-04-23 07:50:20.007,58027.0,0.31,0.04,-0.01,218.63,1.37,-2.38
fastSlow,2025-04-23 07:50:20.108,58132.0,0.14,0.06,0.0,215.44,1.37,-2.31
fastSlow,2025-04-23 07:50:20.224,58238.0,-0.01,0.22,0.01,211.94,1.37,-2.31
fastSlow,2025-04-23 07:50:20.324,58344.0,-0.32,0.21,-0.03,208.13,1.19,-2.38
fastSlow,2025-04-23 07:50:20.440,58450.0,-0.16,0.1,0.0,203.75,0.94,-2.38
fastSlow,2025-04-23 07:50:20.545,58555.0,-0.02,0.05,0.03,201.13,0.81,-2.31
fastSlow,2025-04-23 07:50:20.651,58659.0,-0.04,-0.04,0.03,198.69,0.75,-2.31
fastSlow,2025-04-23 07:50:20.754,58765.0,0.04,-0.13,0.05,196.88,0.69,-2.25
fastSlow,2025-04-23 07:50:20.856,58869.0,0.13,-0.19,0.07,195.25,0.63,-2.19
fastSlow,2025-04-23 07:50:20.958,58975.0,-0.05,0.17,-0.01,194.13,0.75,-2.06
fastSlow,2025-04-23 07:50:21.058,59079.0,0.09,-0.02,-0.01,193.44,0.69,-1.94
fastSlow,2025-04-23 07:50:21.174,59185.0,0.19,-0.72,0.09,192.81,0.63,-1.81
fastSlow,2025-04-23 07:50:21.278,59289.0,-0.08,0.17,0.04,192.63,0.63,-1.94
fastSlow,2025-04-23 07:50:21.373,59396.0,-0.14,-0.16,0.0,192.56,0.56,-1.69
fastSlow,2025-04-23 07:50:21.491,59501.0,-0.02,-0.01,0.0,192.5,0.63,-1.75
fastSlow,2025-04-23 07:50:21.593,59608.0,-0.02,0.03,0.03,192.38,0.75,-1.69
fastSlow,2025-04-23 07:50:21.691,59712.0,-0.04,0.05,0.01,192.38,0.75,-1.63
fastSlow,2025-04-23 07:50:21.792,59817.0,-0.12,0.22,0.04,192.0,0.69,-1.63
fastSlow,2025-04-23 07:50:21.907,59922.0,-0.06,0.0,0.03,190.94,0.69,-1.63
fastSlow,2025-04-23 07:50:22.016,60026.0,0.05,-0.04,0.04,189.88,0.63,-1.63
fastSlow,2025-04-23 07:50:22.108,60132.0,-0.01,-0.03,0.05,189.0,0.69,-1.63
fastSlow,2025-04-23 07:50:22.224,60236.0,-0.07,0.1,0.0,188.5,0.63,-1.56
fastSlow,2025-04-23 07:50:22.323,60344.0,-0.13,0.18,0.0,187.94,0.5,-1.56
fastSlow,2025-04-23 07:50:22.424,60448.0,0.0,0.11,0.0,187.5,0.5,-1.63
fastSlow,2025-04-23 07:50:22.541,60555.0,-0.05,0.13,0.02,186.81,0.37,-1.63
fastSlow,2025-04-23 07:50:22.650,60659.0,-0.05,0.14,0.03,186.06,0.19,-1.69
fastSlow,2025-04-23 07:50:22.757,60766.0,-0.17,0.05,0.02,185.06,0.06,-1.75
fastSlow,2025-04-23 07:50:22.857,60871.0,-0.01,0.31,0.02,184.5,-0.06,-1.81
fastSlow,2025-04-23 07:50:22.965,60976.0,-0.24,0.21,0.05,182.81,-0.31,-1.75
fastSlow,2025-04-23 07:50:23.058,61080.0,-0.41,-4.73,0.39,179.25,-0.63,-1.5
fastSlow,2025-04-23 07:50:23.174,61186.0,-0.58,-1.27,0.19,183.63,-0.88,-1.12
fastSlow,2025-04-23 07:50:23.274,61290.0,-1.18,1.66,-0.05,181.13,-0.88,-0.88
fastSlow,2025-04-23 07:50:23.374,61396.0,0.96,-0.71,0.01,178.63,-0.69,-0.81
fastSlow,2025-04-23 07:50:23.491,61502.0,0.1,0.32,-0.02,175.31,-1.19,-0.81
fastSlow,2025-04-23 07:50:23.591,61608.0,0.91,0.04,0.21,175.38,-1.06,-1.0
fastSlow,2025-04-23 07:50:23.690,61713.0,0.61,-2.22,0.33,176.63,-1.37,-0.69
fastSlow,2025-04-23 07:50:23.808,61820.0,0.98,-1.78,0.05,180.25,-1.19,-0.44
fastSlow,2025-04-23 07:50:23.907,61925.0,0.47,-0.36,0.18,183.25,-0.88,-0.25
fastSlow,2025-04-23 07:50:24.017,62030.0,-0.07,0.2,0.1,184.94,-0.88,-0.19
fastSlow,2025-04-23 07:50:24.108,62135.0,-0.14,-0.12,0.0,184.25,-1.0,-0.25
