Participant,Timestamp,Arduino_Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Euler_Heading,Euler_Roll,Euler_Pitch
slowFastTestCardboard,2025-04-23 07:57:35.317,70372.0,0.06,-0.04,-0.02,286.69,-49.38,-15.63
slowFastTestCardboard,2025-04-23 07:57:35.317,70478.0,0.05,-0.06,0.19,286.44,-49.19,-15.69
slowFastTestCardboard,2025-04-23 07:57:35.430,70584.0,0.09,-0.02,0.12,286.31,-49.19,-15.81
slowFastTestCardboard,2025-04-23 07:57:35.529,70690.0,0.02,-0.07,0.12,286.31,-49.25,-15.88
slowFastTestCardboard,2025-04-23 07:57:35.630,70795.0,0.02,-0.03,0.12,286.38,-49.31,-15.81
slowFastTestCardboard,2025-04-23 07:57:35.745,70901.0,-0.01,-0.02,0.08,286.38,-49.25,-15.94
slowFastTestCardboard,2025-04-23 07:57:35.846,71006.0,-0.37,0.09,0.2,286.13,-49.19,-16.62
slowFastTestCardboard,2025-04-23 07:57:35.957,71111.0,-0.49,0.6,1.23,285.0,-48.06,-16.56
slowFastTestCardboard,2025-04-23 07:57:36.064,71216.0,0.74,-0.08,0.55,283.13,-41.38,-7.63
slowFastTestCardboard,2025-04-23 07:57:36.166,71323.0,1.51,-0.51,-0.32,280.69,-31.69,-1.88
slowFastTestCardboard,2025-04-23 07:57:36.262,71428.0,1.22,-0.64,-0.17,278.63,-24.94,-0.69
slowFastTestCardboard,2025-04-23 07:57:36.379,71534.0,0.65,-0.52,-0.08,283.19,-19.25,0.5
slowFastTestCardboard,2025-04-23 07:57:36.488,71641.0,-0.72,0.0,0.15,294.44,-18.06,-4.31
slowFastTestCardboard,2025-04-23 07:57:36.579,71746.0,-0.29,-0.36,0.48,302.19,-17.06,-5.5
slowFastTestCardboard,2025-04-23 07:57:36.696,71852.0,0.28,-0.3,-0.29,309.44,-14.56,-5.88
slowFastTestCardboard,2025-04-23 07:57:36.796,71956.0,-0.36,-0.33,-0.83,320.38,-13.56,-6.75
slowFastTestCardboard,2025-04-23 07:57:36.897,72061.0,-0.91,-0.57,-0.79,327.88,-11.63,-3.81
slowFastTestCardboard,2025-04-23 07:57:37.013,72166.0,-1.38,-0.11,0.4,333.88,-11.75,-2.13
slowFastTestCardboard,2025-04-23 07:57:37.113,72270.0,-1.33,-0.42,0.57,338.75,-12.0,-1.69
slowFastTestCardboard,2025-04-23 07:57:37.214,72378.0,-0.48,0.15,-0.44,345.06,-11.44,-0.19
slowFastTestCardboard,2025-04-23 07:57:37.328,72482.0,0.1,1.06,-1.12,347.25,-10.69,-1.81
slowFastTestCardboard,2025-04-23 07:57:37.430,72590.0,-1.22,-0.37,-0.54,349.56,-6.81,-1.69
slowFastTestCardboard,2025-04-23 07:57:37.529,72694.0,-3.14,-1.45,1.86,348.31,-1.12,-2.44
slowFastTestCardboard,2025-04-23 07:57:37.646,72802.0,0.02,0.08,-0.03,348.06,-1.0,-2.5
slowFastTestCardboard,2025-04-23 07:57:37.746,72906.0,-0.15,0.06,0.0,348.0,-0.94,-2.5
slowFastTestCardboard,2025-04-23 07:57:37.846,73012.0,-0.07,0.07,0.0,347.88,-0.88,-2.5
slowFastTestCardboard,2025-04-23 07:57:37.947,73116.0,-0.08,0.06,0.0,347.75,-0.88,-2.44
slowFastTestCardboard,2025-04-23 07:57:38.062,73221.0,-0.09,0.09,0.03,347.69,-0.75,-2.25
slowFastTestCardboard,2025-04-23 07:57:38.161,73326.0,-0.07,0.05,-0.01,347.69,-0.69,-2.13
slowFastTestCardboard,2025-04-23 07:57:38.263,73431.0,-0.11,0.07,-0.06,347.69,-0.69,-2.19
slowFastTestCardboard,2025-04-23 07:57:38.383,73537.0,-0.07,0.05,-0.04,347.69,-0.69,-2.19
slowFastTestCardboard,2025-04-23 07:57:38.479,73643.0,-0.06,0.07,0.0,347.5,-0.75,-2.19
slowFastTestCardboard,2025-04-23 07:57:38.594,73748.0,-0.06,0.07,-0.03,347.44,-0.75,-2.19
