Participant,Timestamp ,Arduino_Timestamp_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
slowFastTest,2025-04-23 07:29:38.377,99410.0,-8.89,-3.55,0.41,4.81,-1.06,2.25,45.88,-3.0,-5.19
slowFastTest,2025-04-23 07:29:38.384,99519.0,-9.15,-3.68,0.38,0.25,-2.13,-0.31,47.0,-3.0,-6.38
slowFastTest,2025-04-23 07:29:38.488,99628.0,-9.11,-3.83,0.13,10.06,-4.94,-1.94,46.25,-3.0,-6.38
slowFastTest,2025-04-23 07:29:38.600,99737.0,-8.84,-3.67,0.7,3.31,-2.38,0.5,45.5,-3.38,-7.5
slowFastTest,2025-04-23 07:29:38.708,99845.0,-9.42,-4.36,0.42,11.56,-8.63,-2.5,46.25,-3.38,-7.5
slowFastTest,2025-04-23 07:29:38.807,99951.0,-8.73,-5.45,0.33,116.81,-56.56,-6.5,47.0,-3.0,-8.69
slowFastTest,2025-04-23 07:29:38.922,100059.0,-8.36,-3.93,1.76,152.19,-49.88,27.0,45.06,-4.75,-14.25
slowFastTest,2025-04-23 07:29:39.028,100166.0,-5.73,-2.52,3.06,128.75,-61.56,42.19,43.75,-11.0,-15.88
slowFastTest,2025-04-23 07:29:39.140,100274.0,-7.92,-1.49,3.21,161.75,14.69,-77.12,43.06,-17.5,-15.5
slowFastTest,2025-04-23 07:29:39.250,100383.0,-6.41,-0.12,2.71,170.38,-2.81,-62.69,47.5,-16.5,-10.56
slowFastTest,2025-04-23 07:29:39.355,100493.0,-5.62,1.95,3.24,161.56,-55.63,-65.06,50.06,-10.25,-4.56
slowFastTest,2025-04-23 07:29:39.456,100600.0,-6.97,3.49,5.24,59.06,-25.75,13.06,46.06,-2.56,-5.19
slowFastTest,2025-04-23 07:29:39.573,100708.0,-6.5,4.83,5.34,-119.69,50.81,132.81,44.0,-6.25,-5.0
slowFastTest,2025-04-23 07:29:39.673,100815.0,-6.33,3.27,6.81,8.38,-15.69,111.81,41.25,-14.25,-4.25
slowFastTest,2025-04-23 07:29:39.791,100925.0,-8.93,8.01,9.54,51.13,-81.87,119.19,36.5,-22.87,-4.38
slowFastTest,2025-04-23 07:29:39.890,101036.0,-5.67,8.45,9.59,-64.44,6.44,83.12,31.25,-30.37,-6.69
slowFastTest,2025-04-23 07:29:40.007,101146.0,-2.29,6.84,7.71,-12.0,-37.06,87.75,25.37,-34.5,-10.0
slowFastTest,2025-04-23 07:29:40.114,101254.0,-2.07,5.14,7.25,9.94,-6.25,84.0,16.5,-37.19,-14.88
slowFastTest,2025-04-23 07:29:40.223,101360.0,-1.34,5.14,6.69,-34.56,-18.75,58.94,10.06,-37.56,-17.69
slowFastTest,2025-04-23 07:29:40.335,101468.0,3.15,4.11,6.9,-91.19,5.13,8.38,5.19,-37.56,-19.25
slowFastTest,2025-04-23 07:29:40.439,101578.0,-0.81,1.66,10.08,-88.31,6.19,17.56,5.38,-33.75,-26.75
slowFastTest,2025-04-23 07:29:40.554,101689.0,3.24,-11.05,25.98,-133.69,29.62,56.75,4.38,-29.69,-31.06
slowFastTest,2025-04-23 07:29:40.657,101798.0,-0.04,0.68,9.83,-0.19,-0.06,-0.19,4.0,-26.37,-32.75
slowFastTest,2025-04-23 07:29:40.768,101906.0,0.06,0.77,9.75,0.31,0.44,-0.06,4.0,-26.75,-33.88
slowFastTest,2025-04-23 07:29:40.873,102013.0,0.02,0.76,9.72,1.81,2.5,-3.13,4.69,-26.69,-32.75
slowFastTest,2025-04-23 07:29:40.972,102120.0,0.14,0.66,9.73,-2.0,-0.06,1.0,4.38,-25.56,-32.25
slowFastTest,2025-04-23 07:29:41.089,102227.0,-0.02,1.02,9.71,-1.06,1.0,1.44,3.5,-25.87,-32.38
slowFastTest,2025-04-23 07:29:41.189,102335.0,-0.15,1.17,9.69,-0.19,1.25,9.0,3.56,-26.25,-33.5
slowFastTest,2025-04-23 07:29:41.306,102444.0,-0.01,0.62,9.72,-0.37,0.31,6.75,4.38,-26.56,-33.5
slowFastTest,2025-04-23 07:29:41.412,102554.0,0.16,0.83,9.64,0.44,0.06,0.0,3.56,-27.0,-33.56
slowFastTest,2025-04-23 07:29:41.522,102661.0,0.11,0.58,9.75,0.25,0.37,2.81,3.56,-27.0,-31.56
slowFastTest,2025-04-23 07:29:41.622,102768.0,0.03,0.89,9.72,0.5,0.44,5.44,2.88,-26.19,-32.75
slowFastTest,2025-04-23 07:29:41.739,102875.0,-0.01,0.82,9.72,-0.25,0.75,0.94,3.25,-26.56,-31.87
slowFastTest,2025-04-23 07:29:41.839,102984.0,0.06,0.66,9.75,0.37,-0.12,0.25,4.0,-26.19,-31.87
slowFastTest,2025-04-23 07:29:41.939,103092.0,0.04,0.7,9.76,0.0,0.37,0.06,2.88,-27.69,-31.87
slowFastTest,2025-04-23 07:29:42.056,103199.0,0.05,0.74,9.81,-0.37,0.12,3.44,3.25,-27.25,-32.25
slowFastTest,2025-04-23 07:29:42.155,103309.0,0.03,0.62,9.76,-0.31,0.25,2.94,3.25,-26.56,-31.87
slowFastTest,2025-04-23 07:29:42.272,103415.0,0.03,0.63,9.77,-0.06,-0.12,0.69,3.25,-27.0,-32.38
slowFastTest,2025-04-23 07:29:42.372,103523.0,0.05,0.92,9.7,0.19,0.25,3.56,3.25,-25.75,-32.75
slowFastTest,2025-04-23 07:29:42.494,103629.0,-0.02,0.68,9.77,0.56,1.19,4.19,2.88,-27.0,-32.75
slowFastTest,2025-04-23 07:29:42.589,103739.0,0.02,0.81,9.76,-0.69,0.81,1.31,2.5,-27.0,-31.56
slowFastTest,2025-04-23 07:29:42.707,103848.0,0.04,0.61,9.76,-0.37,0.5,2.13,2.06,-27.25,-32.25
slowFastTest,2025-04-23 07:29:42.805,103956.0,0.0,0.54,9.77,0.06,0.25,3.25,1.75,-27.25,-32.75
slowFastTest,2025-04-23 07:29:42.922,104064.0,-0.02,0.73,9.74,-0.25,-0.12,-1.06,2.06,-26.19,-31.56
slowFastTest,2025-04-23 07:29:43.025,104172.0,-0.03,0.61,9.78,-0.37,0.63,1.06,1.37,-26.56,-32.25
slowFastTest,2025-04-23 07:29:43.139,104282.0,0.0,0.7,9.74,-0.12,-0.12,-1.69,3.25,-27.25,-33.56
slowFastTest,2025-04-23 07:29:43.248,104389.0,0.04,0.6,9.75,-0.12,0.0,-0.56,2.06,-26.56,-33.88
slowFastTest,2025-04-23 07:29:43.358,104497.0,0.03,0.5,9.73,0.12,0.25,-0.69,2.88,-27.0,-32.75
slowFastTest,2025-04-23 07:29:43.457,104605.0,-0.01,0.68,9.74,-0.06,0.12,-0.06,2.88,-26.19,-32.25
slowFastTest,2025-04-23 07:29:43.575,104715.0,0.0,0.67,9.75,-0.12,-0.37,0.19,3.25,-26.56,-32.75
slowFastTest,2025-04-23 07:29:43.672,104822.0,-0.07,1.19,9.73,0.5,0.12,0.94,1.75,-26.56,-32.25
slowFastTest,2025-04-23 07:29:43.789,104930.0,-0.08,0.77,9.77,0.06,0.0,-1.81,2.5,-26.56,-33.06
slowFastTest,2025-04-23 07:29:43.899,105036.0,-0.01,0.71,9.75,0.25,-0.19,-1.75,2.88,-27.25,-31.56
slowFastTest,2025-04-23 07:29:44.006,105146.0,-0.05,0.79,9.76,0.63,1.19,2.81,2.5,-27.69,-32.75
slowFastTest,2025-04-23 07:29:44.105,105253.0,-0.05,0.76,9.71,0.06,0.5,-4.06,2.5,-27.0,-33.06
slowFastTest,2025-04-23 07:29:44.223,105361.0,0.0,0.62,9.8,0.44,0.81,0.81,3.25,-27.0,-31.06
slowFastTest,2025-04-23 07:29:44.322,105469.0,0.0,0.55,9.78,-0.37,-0.12,1.25,3.25,-27.0,-32.25
slowFastTest,2025-04-23 07:29:44.422,105577.0,-0.06,0.62,9.77,0.0,0.37,3.5,2.06,-27.0,-31.87
slowFastTest,2025-04-23 07:29:44.546,105683.0,-0.03,0.65,9.77,-0.19,0.37,2.38,2.5,-27.0,-31.06
slowFastTest,2025-04-23 07:29:44.640,105791.0,-0.02,0.68,9.74,0.06,0.12,-1.31,1.75,-27.0,-32.25
slowFastTest,2025-04-23 07:29:44.762,105901.0,-0.08,0.77,9.73,0.25,0.25,3.69,2.5,-27.25,-31.56
slowFastTest,2025-04-23 07:29:44.855,106008.0,-0.01,0.56,9.76,-0.06,0.12,2.0,2.06,-26.56,-31.56
slowFastTest,2025-04-23 07:29:44.972,106116.0,-0.04,0.69,9.76,-0.19,-0.19,-0.5,2.5,-27.0,-32.75
slowFastTest,2025-04-23 07:29:45.083,106224.0,-0.08,0.8,9.78,0.31,0.19,1.75,2.88,-27.25,-31.87
slowFastTest,2025-04-23 07:29:45.189,106332.0,-0.02,0.59,9.77,-0.81,0.75,0.81,2.06,-26.56,-31.56
slowFastTest,2025-04-23 07:29:45.289,106439.0,0.0,0.62,9.83,-0.25,0.31,-2.13,1.75,-27.25,-31.56
slowFastTest,2025-04-23 07:29:45.404,106546.0,0.02,1.19,9.61,-2.31,0.25,-2.38,2.88,-26.56,-31.56
slowFastTest,2025-04-23 07:29:45.517,106655.0,-0.04,0.61,9.73,0.56,0.25,-2.56,2.5,-25.75,-31.87
slowFastTest,2025-04-23 07:29:45.621,106766.0,-0.06,0.56,9.79,-1.06,0.63,5.13,1.75,-27.0,-31.06
slowFastTest,2025-04-23 07:29:45.721,106874.0,-0.03,0.7,9.77,-1.0,0.44,1.37,2.06,-27.0,-31.56
slowFastTest,2025-04-23 07:29:45.839,106981.0,-0.26,0.65,9.74,-0.75,-0.25,-0.31,2.06,-27.0,-32.25
slowFastTest,2025-04-23 07:29:45.938,107089.0,-0.1,0.68,9.74,0.37,0.06,2.63,2.06,-27.25,-31.06
slowFastTest,2025-04-23 07:29:46.054,107196.0,-0.09,0.68,9.76,-0.12,0.31,-2.75,2.88,-27.0,-32.25
slowFastTest,2025-04-23 07:29:46.156,107303.0,-0.08,0.61,9.76,0.0,0.56,-3.69,2.06,-26.56,-31.56
slowFastTest,2025-04-23 07:29:46.256,107411.0,-0.12,0.79,9.7,0.19,0.81,-3.44,2.06,-27.0,-30.75
slowFastTest,2025-04-23 07:29:46.372,107521.0,-0.11,0.63,9.73,0.19,0.5,-3.13,2.06,-27.0,-31.56
